"ENTITY_EMP_ID","OBJ_ID","ENTITY_ID","ENTITY_AFLTN_ID","EMP_STAT_CD","EMP_TYP_CD","BASE_SLRY_AMT","PRMRY_IND","ACTV_IND","PRMRY_DEPT_CD","EMP_ID","EMP_REC_ID"
"KFS1031","KFS1031","KFS1031","KFS1031","T","N","50000","Y","Y","BL-BL","0000000032","1"
"KFS1032","KFS1032","KFS1032","KFS1032","T","N","50000","Y","Y","BL-BL","0000000033","1"
"KFS1033","KFS1033","KFS1033","KFS1033","T","N","50000","Y","Y","BL-BL","0000000034","1"
"KFS1035","KFS1035","KFS1035","KFS1035","T","N","50000","Y","Y","BL-BL","0000000036","1"
"KFS1036","KFS1036","KFS1036","KFS1036","T","N","50000","Y","Y","BL-BL","0000000037","1"
"KFS1037","KFS1037","KFS1037","KFS1037","T","N","50000","Y","Y","BL-BL","0000000038","1"
"KFS1038","KFS1038","KFS1038","KFS1038","T","N","50000","Y","Y","BL-BL","0000000039","1"
"KFS1039","KFS1039","KFS1039","KFS1039","T","N","50000","Y","Y","BL-BL","0000000040","1"
"KFS1040","KFS1040","KFS1040","KFS1040","T","N","50000","Y","Y","BL-BL","0000000041","1"
"KFS1041","KFS1041","KFS1041","KFS1041","T","N","50000","Y","Y","BL-BL","0000000042","1"
"KFS1042","KFS1042","KFS1042","KFS1042","T","N","50000","Y","Y","BL-BL","0000000043","1"
"KFS1043","KFS1043","KFS1043","KFS1043","T","N","50000","Y","Y","BL-BL","0000000044","1"
"KFS1044","KFS1044","KFS1044","KFS1044","A","P","50000","Y","Y","BL-BL","0000000045","1"
"KFS1045","KFS1045","KFS1045","KFS1045","T","N","50000","Y","Y","BL-BL","0000000046","1"
"KFS1046","KFS1046","KFS1046","KFS1046","T","N","50000","Y","Y","BL-BL","0000000047","1"
"KFS1047","KFS1047","KFS1047","KFS1047","T","N","50000","Y","Y","BL-BL","0000000048","1"
"KFS1048","KFS1048","KFS1048","KFS1048","T","N","50000","Y","Y","BL-BL","0000000049","1"
"KFS1049","KFS1049","KFS1049","KFS1049","T","N","50000","Y","Y","BL-BL","0000000050","1"
"KFS1050","KFS1050","KFS1050","KFS1050","T","N","50000","Y","Y","BL-BL","0000000051","1"
"KFS1052","KFS1052","KFS1052","KFS1052","T","P","50000","Y","Y","BL-BL","0000000053","1"
"KFS1053","KFS1053","KFS1053","KFS1053","T","N","50000","Y","Y","BL-BL","0000000054","1"
"KFS1054","KFS1054","KFS1054","KFS1054","T","N","50000","Y","Y","BL-BL","0000000055","1"
"KFS1055","KFS1055","KFS1055","KFS1055","T","N","50000","Y","Y","BL-BL","0000000056","1"
"KFS1056","KFS1056","KFS1056","KFS1056","T","N","50000","Y","Y","BL-BL","0000000057","1"
"KFS1057","KFS1057","KFS1057","KFS1057","T","N","50000","Y","Y","BL-BL","0000000058","1"
"KFS1058","KFS1058","KFS1058","KFS1058","T","N","50000","Y","Y","BL-BL","0000000059","1"
"KFS1059","KFS1059","KFS1059","KFS1059","T","N","50000","Y","Y","BL-BL","0000000060","1"
"KFS1060","KFS1060","KFS1060","KFS1060","T","N","50000","Y","Y","BL-BL","0000000061","1"
"KFS1061","KFS1061","KFS1061","KFS1061","T","N","50000","Y","Y","BL-BL","0000000062","1"
"KFS1062","KFS1062","KFS1062","KFS1062","T","N","50000","Y","Y","BL-BL","0000000063","1"
"KFS1063","KFS1063","KFS1063","KFS1063","T","N","50000","Y","Y","BL-BL","0000000064","1"
"KFS1064","KFS1064","KFS1064","KFS1064","T","N","50000","Y","Y","BL-BL","0000000065","1"
"KFS1065","KFS1065","KFS1065","KFS1065","T","N","50000","Y","Y","BL-BL","0000000066","1"
"KFS1066","KFS1066","KFS1066","KFS1066","T","N","50000","Y","Y","BL-BL","0000000067","1"
"KFS1067","KFS1067","KFS1067","KFS1067","T","N","50000","Y","Y","BL-BL","0000000069","1"
"KFS1068","KFS1068","KFS1068","KFS1068","A","N","50000","Y","Y","IN-IN","0000000070","1"
"KFS1069","KFS1069","KFS1069","KFS1069","T","N","50000","Y","Y","BL-BL","0000000071","1"
"KFS1070","KFS1070","KFS1070","KFS1070","T","N","50000","Y","Y","BL-BL","0000000072","1"
"KFS1071","KFS1071","KFS1071","KFS1071","T","N","50000","Y","Y","BL-BL","0000000073","1"
"KFS1072","KFS1072","KFS1072","KFS1072","T","N","50000","Y","Y","BL-BL","0000000074","1"
"KFS1073","KFS1073","KFS1073","KFS1073","T","N","50000","Y","Y","BL-BL","0000000075","1"
"KFS1074","KFS1074","KFS1074","KFS1074","T","N","50000","Y","Y","BL-BL","0000000076","1"
"KFS1075","KFS1075","KFS1075","KFS1075","T","N","50000","Y","Y","BL-BL","0000000077","1"
"KFS1076","KFS1076","KFS1076","KFS1076","T","P","50000","Y","Y","BL-BL","0000000078","1"
"KFS1077","KFS1077","KFS1077","KFS1077","T","N","50000","Y","Y","BL-BL","0000000079","1"
"KFS1078","KFS1078","KFS1078","KFS1078","T","N","50000","Y","Y","BL-BL","0000000080","1"
"KFS1079","KFS1079","KFS1079","KFS1079","T","N","50000","Y","Y","BL-BL","0000000081","1"
"KFS1080","KFS1080","KFS1080","KFS1080","T","N","50000","Y","Y","BL-BL","0000000082","1"
"KFS1081","KFS1081","KFS1081","KFS1081","T","N","50000","Y","Y","BL-BL","0000000083","1"
"KFS1082","KFS1082","KFS1082","KFS1082","T","N","50000","Y","Y","BL-BL","0000000084","1"
"KFS1083","KFS1083","KFS1083","KFS1083","T","N","50000","Y","Y","BL-BL","0000000085","1"
"KFS1084","KFS1084","KFS1084","KFS1084","T","N","50000","Y","Y","BL-BL","0000000086","1"
"KFS1085","KFS1085","KFS1085","KFS1085","T","N","50000","Y","Y","BL-BL","0000000087","1"
"KFS1086","KFS1086","KFS1086","KFS1086","T","N","50000","Y","Y","BL-BL","0000000088","1"
"KFS1087","KFS1087","KFS1087","KFS1087","T","N","50000","Y","Y","BL-BL","0000000089","1"
"KFS1088","KFS1088","KFS1088","KFS1088","T","N","50000","Y","Y","BL-BL","0000000090","1"
"KFS1089","KFS1089","KFS1089","KFS1089","T","N","50000","Y","Y","BL-BL","0000000091","1"
"KFS1090","KFS1090","KFS1090","KFS1090","T","N","50000","Y","Y","BL-BL","0000000092","1"
"KFS1091","KFS1091","KFS1091","KFS1091","T","N","50000","Y","Y","BL-BL","0000000093","1"
"KFS1092","KFS1092","KFS1092","KFS1092","T","N","50000","Y","Y","BL-BL","0000000094","1"
"KFS1093","KFS1093","KFS1093","KFS1093","T","N","50000","Y","Y","BL-BL","0000000095","1"
"KFS1094","KFS1094","KFS1094","KFS1094","T","N","50000","Y","Y","BL-BL","0000000096","1"
"KFS1095","KFS1095","KFS1095","KFS1095","T","N","50000","Y","Y","BL-BL","0000000097","1"
"KFS1096","KFS1096","KFS1096","KFS1096","T","N","50000","Y","Y","BL-BL","0000000098","1"
"KFS1097","KFS1097","KFS1097","KFS1097","T","N","50000","Y","Y","BL-BL","0000000099","1"
"KFS1098","KFS1098","KFS1098","KFS1098","T","N","50000","Y","Y","BL-BL","0000000100","1"
"KFS1099","KFS1099","KFS1099","KFS1099","T","N","50000","Y","Y","BL-BL","0000000101","1"
"KFS1100","KFS1100","KFS1100","KFS1100","T","N","50000","Y","Y","BL-BL","0000000102","1"
"KFS1101","KFS1101","KFS1101","KFS1101","T","N","50000","Y","Y","BL-BL","0000000103","1"
"KFS1102","KFS1102","KFS1102","KFS1102","T","N","50000","Y","Y","BL-BL","0000000104","1"
"KFS1103","KFS1103","KFS1103","KFS1103","T","N","50000","Y","Y","BL-BL","0000000105","1"
"KFS1104","KFS1104","KFS1104","KFS1104","R","P","50000","Y","Y","IN-IN","0000000106","1"
"KFS1105","KFS1105","KFS1105","KFS1105","R","P","50000","Y","Y","IN-IN","0000000107","1"
"KFS1106","KFS1106","KFS1106","KFS1106","R","P","50000","Y","Y","BL-BL","0000000108","1"
"KFS1107","KFS1107","KFS1107","KFS1107","R","P","50000","Y","Y","BL-BL","0000000109","1"
"KFS1108","KFS1108","KFS1108","KFS1108","R","N","50000","Y","Y","BL-BL","0000000110","1"
"KFS1109","KFS1109","KFS1109","KFS1109","D","P","50000","Y","Y","BL-BL","0000000111","1"
"KFS1110","KFS1110","KFS1110","KFS1110","R","P","50000","Y","Y","BL-BL","0000000112","1"
"KFS1111","KFS1111","KFS1111","KFS1111","T","N","50000","Y","Y","BL-BL","0000000113","1"
"KFS1112","KFS1112","KFS1112","KFS1112","T","N","50000","Y","Y","BL-BL","0000000114","1"
"KFS1113","KFS1113","KFS1113","KFS1113","T","N","50000","Y","Y","BL-BL","0000000115","1"
"KFS1114","KFS1114","KFS1114","KFS1114","T","N","50000","Y","Y","BL-BL","0000000116","1"
"KFS1115","KFS1115","KFS1115","KFS1115","T","N","50000","Y","Y","BL-BL","0000000117","1"
"KFS1117","KFS1117","KFS1117","KFS1117","T","N","50000","Y","Y","BL-BL","0000000119","1"
"KFS1122","KFS1122","KFS1122","KFS1122","T","N","50000","Y","Y","BL-AFRI","0000000124","1"
"KFS1123","KFS1123","KFS1123","KFS1123","T","N","50000","Y","Y","BL-BL","0000000125","1"
"KFS1124","KFS1124","KFS1124","KFS1124","T","N","50000","Y","Y","BL-BL","0000000126","1"
"KFS1125","KFS1125","KFS1125","KFS1125","T","N","50000","Y","Y","BL-BL","0000000127","1"
"KFS1137","KFS1137","KFS1137","KFS1137","T","N","50000","Y","Y","BL-IMU","0000000139","1"
"KFS1138","KFS1138","KFS1138","KFS1138","T","N","50000","Y","Y","BL-BL","0000000140","1"
"KFS1143","KFS1143","KFS1143","KFS1143","T","N","50000","Y","Y","BL-BL","0000000145","1"
"KFS1146","KFS1146","KFS1146","KFS1146","T","N","50000","Y","Y","BL-BL","0000000148","1"
"KFS1165","KFS1165","KFS1165","KFS1165","T","N","50000","Y","Y","BL-BL","0000000167","1"
"KFS1168","KFS1168","KFS1168","KFS1168","T","N","50000","Y","Y","BL-BL","0000000170","1"
"KFS1172","KFS1172","KFS1172","KFS1172","T","N","50000","Y","Y","BL-BL","0000000174","1"
"KFS1231","KFS1231","KFS1231","KFS1231","T","N","50000","Y","Y","BL-BL","0000000233","1"
"KFS1232","KFS1232","KFS1232","KFS1232","T","N","50000","Y","Y","BL-BL","0000000234","1"
"KFS1264","KFS1264","KFS1264","KFS1264","T","N","50000","Y","Y","BL-LIBG","0000000266","1"
"KFS1309","KFS1309","KFS1309","KFS1309","T","N","50000","Y","Y","BL-HALL","0000000311","1"
"KFS1315","KFS1315","KFS1315","KFS1315","T","P","50000","Y","Y","BL-BL","0000000317","1"
"KFS1334","KFS1334","KFS1334","KFS1334","T","P","50000","Y","Y","BL-BL","0000000336","1"
"KFS1337","KFS1337","KFS1337","KFS1337","T","N","50000","Y","Y","BL-BL","0000000339","1"
"KFS1361","KFS1361","KFS1361","KFS1361","T","P","50000","Y","Y","IN-IN","0000000363","1"
"KFS1399","KFS1399","KFS1399","KFS1399","T","N","50000","Y","Y","BL-IMU","0000000401","1"
"KFS1423","KFS1423","KFS1423","KFS1423","T","N","50000","Y","Y","BL-BL","0000000425","1"
"KFS1433","KFS1433","KFS1433","KFS1433","T","N","50000","Y","Y","BL-IMU","0000000435","1"
"KFS1438","KFS1438","KFS1438","KFS1438","T","P","50000","Y","Y","BL-BL","0000000440","1"
"KFS1441","KFS1441","KFS1441","KFS1441","T","N","50000","Y","Y","BL-HALL","0000000443","1"
"KFS1444","KFS1444","KFS1444","KFS1444","T","N","50000","Y","Y","BL-REGR","0000000446","1"
"KFS1453","KFS1453","KFS1453","KFS1453","T","N","50000","Y","Y","BL-MUS","0000000455","1"
"KFS1455","KFS1455","KFS1455","KFS1455","T","P","50000","Y","Y","BL-BL","0000000457","1"
"KFS1470","KFS1470","KFS1470","KFS1470","T","N","50000","Y","Y","BL-BL","0000000472","1"
"KFS1482","KFS1482","KFS1482","KFS1482","T","N","50000","Y","Y","BL-MUS","0000000484","1"
"KFS1515","KFS1515","KFS1515","KFS1515","T","N","50000","Y","Y","BL-HALL","0000000517","1"
"KFS1520","KFS1520","KFS1520","KFS1520","T","P","50000","Y","Y","BL-BL","0000000522","1"
"KFS1525","KFS1525","KFS1525","KFS1525","T","N","50000","Y","Y","BL-IMU","0000000527","1"
"KFS1526","KFS1526","KFS1526","KFS1526","A","P","50000","Y","Y","BL-BL","0000000528","1"
"KFS1531","KFS1531","KFS1531","KFS1531","T","N","50000","Y","Y","","0000000533","1"
"KFS1545","KFS1545","KFS1545","KFS1545","T","N","50000","Y","Y","BL-BL","0000000547","1"
"KFS1556","KFS1556","KFS1556","KFS1556","T","N","50000","Y","Y","BL-BUS","0000000558","1"
"KFS1574","KFS1574","KFS1574","KFS1574","T","N","50000","Y","Y","BL-IMU","0000000576","1"
"KFS1586","KFS1586","KFS1586","KFS1586","T","N","50000","Y","Y","BL-BL","0000000588","1"
"KFS1599","KFS1599","KFS1599","KFS1599","T","P","50000","Y","Y","BL-BL","0000000601","1"
"KFS1601","KFS1601","KFS1601","KFS1601","T","P","50000","Y","Y","BL-BL","0000000603","1"
"KFS1603","KFS1603","KFS1603","KFS1603","T","N","50000","Y","Y","BL-BL","0000000605","1"
"KFS1625","KFS1625","KFS1625","KFS1625","T","P","50000","Y","Y","BL-BL","0000000628","1"
"KFS1637","KFS1637","KFS1637","KFS1637","T","N","50000","Y","Y","BL-BL","0000000640","1"
"KFS1638","KFS1638","KFS1638","KFS1638","T","N","50000","Y","Y","BL-HALL","0000000641","1"
"KFS1656","KFS1656","KFS1656","KFS1656","T","N","50000","Y","Y","BL-MUS","0000000659","1"
"KFS1676","KFS1676","KFS1676","KFS1676","T","N","50000","Y","Y","BL-INTP","0000000679","1"
"KFS1686","KFS1686","KFS1686","KFS1686","T","N","50000","Y","Y","BL-MUS","0000000690","1"
"KFS1689","KFS1689","KFS1689","KFS1689","T","N","50000","Y","Y","BL-BL","0000000693","1"
"KFS1705","KFS1705","KFS1705","KFS1705","T","N","50000","Y","Y","BL-BL","0000000709","1"
"KFS1717","KFS1717","KFS1717","KFS1717","T","P","50000","Y","Y","BL-BL","0000000721","1"
"KFS1731","KFS1731","KFS1731","KFS1731","T","P","50000","Y","Y","BL-BL","0000000735","1"
"KFS1744","KFS1744","KFS1744","KFS1744","T","N","50000","Y","Y","BL-BL","0000000748","1"
"KFS1747","KFS1747","KFS1747","KFS1747","T","P","50000","Y","Y","BL-BL","0000000751","1"
"KFS1783","KFS1783","KFS1783","KFS1783","A","N","50000","Y","Y","IN-LART","0000000787","1"
"KFS1861","KFS1861","KFS1861","KFS1861","T","N","50000","Y","Y","BL-BL","0000000866","1"
"KFS1864","KFS1864","KFS1864","KFS1864","T","N","50000","Y","Y","BL-BL","0000000869","1"
"KFS1870","KFS1870","KFS1870","KFS1870","T","P","50000","Y","Y","BL-BL","0000000875","1"
"KFS1884","KFS1884","KFS1884","KFS1884","A","N","50000","Y","Y","","0000000889","1"
"KFS2018","KFS2018","KFS2018","KFS2018","T","N","50000","Y","Y","BL-BL","0000001024","1"
"KFS2019","KFS2019","KFS2019","KFS2019","T","P","50000","Y","Y","BL-BL","0000001025","1"
"KFS2049","KFS2049","KFS2049","KFS2049","T","P","50000","Y","Y","BL-BL","0000001055","1"
"KFS2053","KFS2053","KFS2053","KFS2053","T","N","50000","Y","Y","BL-IMU","0000001059","1"
"KFS2062","KFS2062","KFS2062","KFS2062","T","N","50000","Y","Y","BL-BRAD","0000001068","1"
"KFS2073","KFS2073","KFS2073","KFS2073","T","N","50000","Y","Y","BL-BRAD","0000001079","1"
"KFS2075","KFS2075","KFS2075","KFS2075","T","N","50000","Y","Y","BL-PHYS","0000001081","1"
"KFS2138","KFS2138","KFS2138","KFS2138","A","P","50000","Y","Y","BL-BL","0000001144","1"
"KFS2163","KFS2163","KFS2163","KFS2163","T","N","50000","Y","Y","BL-BRAD","0000001169","1"
"KFS2204","KFS2204","KFS2204","KFS2204","T","P","50000","Y","Y","BL-BL","0000001210","1"
"KFS2224","KFS2224","KFS2224","KFS2224","T","N","50000","Y","Y","BL-BL","0000001231","1"
"KFS2227","KFS2227","KFS2227","KFS2227","T","N","50000","Y","Y","BL-HPER","0000001234","1"
"KFS2230","KFS2230","KFS2230","KFS2230","T","N","50000","Y","Y","BL-AMID","0000001237","1"
"KFS2235","KFS2235","KFS2235","KFS2235","T","N","50000","Y","Y","BL-BRAD","0000001242","1"
"KFS2236","KFS2236","KFS2236","KFS2236","T","N","50000","Y","Y","BL-BRAD","0000001243","1"
"KFS2247","KFS2247","KFS2247","KFS2247","T","N","50000","Y","Y","BL-HALL","0000001254","1"
"KFS2284","KFS2284","KFS2284","KFS2284","T","N","50000","Y","Y","BL-HALL","0000001291","1"
"KFS2344","KFS2344","KFS2344","KFS2344","T","N","50000","Y","Y","BL-HALL","0000001351","1"
"KFS2369","KFS2369","KFS2369","KFS2369","T","P","50000","Y","Y","BL-BL","0000001376","1"
"KFS2376","KFS2376","KFS2376","KFS2376","T","P","50000","Y","Y","BL-BL","0000001383","1"
"KFS2377","KFS2377","KFS2377","KFS2377","T","P","50000","Y","Y","BL-BL","0000001384","1"
"KFS2382","KFS2382","KFS2382","KFS2382","T","N","50000","Y","Y","BL-MUS","0000001389","1"
"KFS2383","KFS2383","KFS2383","KFS2383","T","N","50000","Y","Y","BL-MUS","0000001390","1"
"KFS2388","KFS2388","KFS2388","KFS2388","A","P","50000","Y","Y","BL-BRAD","0000001395","1"
"KFS2389","KFS2389","KFS2389","KFS2389","T","N","50000","Y","Y","BL-BRAD","0000001396","1"
"KFS2409","KFS2409","KFS2409","KFS2409","T","N","50000","Y","Y","BL-BL","0000001416","1"
"KFS2412","KFS2412","KFS2412","KFS2412","T","N","50000","Y","Y","BL-MSCI","0000001419","1"
"KFS2492","KFS2492","KFS2492","KFS2492","A","P","50000","Y","Y","BL-BL","0000001499","1"
"KFS2533","KFS2533","KFS2533","KFS2533","T","N","50000","Y","Y","BL-HALL","0000001540","1"
"KFS2534","KFS2534","KFS2534","KFS2534","T","N","50000","Y","Y","BL-HALL","0000001541","1"
"KFS2535","KFS2535","KFS2535","KFS2535","T","N","50000","Y","Y","BL-HALL","0000001542","1"
"KFS2549","KFS2549","KFS2549","KFS2549","T","N","50000","Y","Y","BL-BL","0000001556","1"
"KFS2550","KFS2550","KFS2550","KFS2550","T","N","50000","Y","Y","BL-BL","0000001557","1"
"KFS2552","KFS2552","KFS2552","KFS2552","T","N","50000","Y","Y","BL-BL","0000001559","1"
"KFS2554","KFS2554","KFS2554","KFS2554","A","P","50000","Y","Y","BL-BL","0000001561","1"
"KFS2559","KFS2559","KFS2559","KFS2559","T","N","50000","Y","Y","BL-BL","0000001566","1"
"KFS2566","KFS2566","KFS2566","KFS2566","T","N","50000","Y","Y","BL-BRAD","0000001573","1"
"KFS2567","KFS2567","KFS2567","KFS2567","A","N","50000","Y","Y","BL-RPAD","0000001574","1"
"KFS2568","KFS2568","KFS2568","KFS2568","T","N","50000","Y","Y","BL-CONF","0000001575","1"
"KFS2578","KFS2578","KFS2578","KFS2578","T","N","50000","Y","Y","BL-BL","0000001585","1"
"KFS2582","KFS2582","KFS2582","KFS2582","T","N","50000","Y","Y","BL-BL","0000001589","1"
"KFS2584","KFS2584","KFS2584","KFS2584","T","N","50000","Y","Y","BL-BL","0000001591","1"
"KFS2587","KFS2587","KFS2587","KFS2587","T","N","50000","Y","Y","BL-BL","0000001594","1"
"KFS2588","KFS2588","KFS2588","KFS2588","T","N","50000","Y","Y","BL-BL","0000001595","1"
"KFS2593","KFS2593","KFS2593","KFS2593","T","N","50000","Y","Y","BL-BL","0000001600","1"
"KFS2594","KFS2594","KFS2594","KFS2594","T","N","50000","Y","Y","BL-BL","0000001601","1"
"KFS2595","KFS2595","KFS2595","KFS2595","T","N","50000","Y","Y","BL-BL","0000001602","1"
"KFS2602","KFS2602","KFS2602","KFS2602","T","N","50000","Y","Y","BL-BL","0000001609","1"
"KFS2606","KFS2606","KFS2606","KFS2606","T","N","50000","Y","Y","BL-BL","0000001613","1"
"KFS2607","KFS2607","KFS2607","KFS2607","T","N","50000","Y","Y","BL-BL","0000001614","1"
"KFS2612","KFS2612","KFS2612","KFS2612","T","N","50000","Y","Y","BL-BL","0000001619","1"
"KFS2616","KFS2616","KFS2616","KFS2616","T","N","50000","Y","Y","BL-BL","0000001623","1"
"KFS2621","KFS2621","KFS2621","KFS2621","T","N","50000","Y","Y","BL-BL","0000001628","1"
"KFS2629","KFS2629","KFS2629","KFS2629","T","N","50000","Y","Y","BL-BL","0000001636","1"
"KFS2631","KFS2631","KFS2631","KFS2631","T","N","50000","Y","Y","BL-BL","0000001638","1"
"KFS2641","KFS2641","KFS2641","KFS2641","T","N","50000","Y","Y","BL-BL","0000001648","1"
"KFS2646","KFS2646","KFS2646","KFS2646","T","N","50000","Y","Y","BL-BL","0000001653","1"
"KFS2648","KFS2648","KFS2648","KFS2648","T","N","50000","Y","Y","BL-BL","0000001655","1"
"KFS2651","KFS2651","KFS2651","KFS2651","T","N","50000","Y","Y","BL-BL","0000001658","1"
"KFS2655","KFS2655","KFS2655","KFS2655","T","N","50000","Y","Y","BL-HALL","0000001662","1"
"KFS2656","KFS2656","KFS2656","KFS2656","T","N","50000","Y","Y","BL-HALL","0000001663","1"
"KFS2657","KFS2657","KFS2657","KFS2657","T","N","50000","Y","Y","BL-HALL","0000001664","1"
"KFS2658","KFS2658","KFS2658","KFS2658","T","N","50000","Y","Y","BL-HALL","0000001665","1"
"KFS2659","KFS2659","KFS2659","KFS2659","T","N","50000","Y","Y","BL-HALL","0000001666","1"
"KFS2693","KFS2693","KFS2693","KFS2693","A","P","50000","Y","Y","BL-BL","0000001700","1"
"KFS2694","KFS2694","KFS2694","KFS2694","T","P","50000","Y","Y","BL-BL","0000001701","1"
"KFS2695","KFS2695","KFS2695","KFS2695","T","N","50000","Y","Y","BL-BL","0000001702","1"
"KFS2734","KFS2734","KFS2734","KFS2734","T","N","50000","Y","Y","BL-MUS","0000001741","1"
"KFS2742","KFS2742","KFS2742","KFS2742","T","N","50000","Y","Y","BL-BL","0000001749","1"
"KFS2743","KFS2743","KFS2743","KFS2743","A","P","50000","Y","Y","BL-PSY","0000002820","1"
"KFS2744","KFS2744","KFS2744","KFS2744","A","P","50000","Y","Y","EA-BUSE","0000002874","1"
"KFS2745","KFS2745","KFS2745","KFS2745","A","P","50000","Y","Y","BL-RUAD","0000002882","1"
"KFS2746","KFS2746","KFS2746","KFS2746","A","P","50000","Y","Y","BL-PSY","0000002884","1"
"KFS2747","KFS2747","KFS2747","KFS2747","A","P","50000","Y","Y","BL-BL","0000002930","1"
"KFS2748","KFS2748","KFS2748","KFS2748","A","P","50000","Y","Y","BL-SPHS","0000003008","1"
"KFS2749","KFS2749","KFS2749","KFS2749","A","P","50000","Y","Y","IN-DMSC","0000003417","1"
"KFS2750","KFS2750","KFS2750","KFS2750","A","P","50000","Y","Y","BL-PSY","0000003543","1"
"KFS2751","KFS2751","KFS2751","KFS2751","A","P","50000","Y","Y","NW-SOC","0000003606","1"
"KFS2752","KFS2752","KFS2752","KFS2752","A","P","50000","Y","Y","KO-NIMS","0000003607","1"
"KFS2753","KFS2753","KFS2753","KFS2753","A","P","50000","Y","Y","BL-PSY","0000003623","1"
"KFS2754","KFS2754","KFS2754","KFS2754","R","P","50000","Y","Y","SB-ENG","0000003914","1"
"KFS2755","KFS2755","KFS2755","KFS2755","A","P","50000","Y","Y","UA-VPUR","0000004117","1"
"KFS2756","KFS2756","KFS2756","KFS2756","A","P","50000","Y","Y","BL-BL","0000004301","1"
"KFS2757","KFS2757","KFS2757","KFS2757","A","P","50000","Y","Y","EA-HUFA","0000004330","1"
"KFS2758","KFS2758","KFS2758","KFS2758","A","P","50000","Y","Y","KO-EDUC","0000004483","1"
"KFS2759","KFS2759","KFS2759","KFS2759","A","P","50000","Y","Y","IN-PD","0000004621","1"
"KFS2760","KFS2760","KFS2760","KFS2760","A","P","50000","Y","Y","BL-LLC","0000004805","1"
"KFS2761","KFS2761","KFS2761","KFS2761","A","P","50000","Y","Y","BL-RUAD","0000004826","1"
"KFS2762","KFS2762","KFS2762","KFS2762","A","P","50000","Y","Y","BL-SOC","0000004829","1"
