ENTITY_ADDR_ID,OBJ_ID,ENTITY_ID,ENT_TYP_CD,ADDR_TYP_CD,ADDR_LINE_1,ADDR_LINE_2,ADDR_LINE_3,CITY,STATE_PVC_CD,POSTAL_CD,POSTAL_CNTRY_CD,DFLT_IND,ACTV_IND
10203,KFS-TEM-KRIM-ADDR-0018,KFS2794,PERSON,WRK,East Peltason Dr,,,Irvine,CA,92697,US,Y,Y
10204,KFS-TEM-KRIM-ADDR-0019,KFS3455,PERSON,WRK,East Peltason Dr,,,Irvine,CA,92697,US,Y,Y
10205,KFS-TEM-KRIM-ADDR-0020,KFS3091,PERSON,WRK,East Peltason Dr,,,Irvine,CA,92697,US,Y,Y
10206,KFS-TEM-KRIM-ADDR-0021,KFS3158,PERSON,WRK,East Peltason Dr,,,Irvine,CA,92697,US,Y,Y
10207,KFS-TEM-KRIM-ADDR-0022,KFS2939,PERSON,WRK,East Peltason Dr,,,Irvine,CA,92697,US,Y,Y
10208,KFS-TEM-KRIM-ADDR-0023,KFS3778,PERSON,WRK,East Peltason Dr,,,Irvine,CA,92697,US,Y,Y
10209,KFS-TEM-KRIM-ADDR-0024,KFS3678,PERSON,WRK,East Peltason Dr,,,Irvine,CA,92697,US,Y,Y
10210,KFS-TEM-KRIM-ADDR-0025,KFS3798,PERSON,WRK,East Peltason Dr,,,Irvine,CA,92697,US,Y,Y
10211,KFS-TEM-KRIM-ADDR-0026,KFS3862,PERSON,WRK,East Peltason Dr,,,Irvine,CA,92697,US,Y,Y
10212,KFS-TEM-KRIM-ADDR-0027,KFS3587,PERSON,WRK,East Peltason Dr,,,Irvine,CA,92697,US,Y,Y
10213,KFS-TEM-KRIM-ADDR-0028,KFS3908,PERSON,WRK,East Peltason Dr,,,Irvine,CA,92697,US,Y,Y
10214,KFS-TEM-KRIM-ADDR-0029,KFS3069,PERSON,WRK,East Peltason Dr,,,Irvine,CA,92697,US,Y,Y
10215,KFS-TEM-KRIM-ADDR-0030,KFS2975,PERSON,WRK,East Peltason Dr,,,Irvine,CA,92697,US,Y,Y
10216,KFS-TEM-KRIM-ADDR-0031,KFS2953,PERSON,WRK,East Peltason Dr,,,Irvine,CA,92697,US,Y,Y
10217,KFS-TEM-KRIM-ADDR-0032,KFS3163,PERSON,WRK,East Peltason Dr,,,Irvine,CA,92697,US,Y,Y
10218,KFS-TEM-KRIM-ADDR-0033,KFS3739,PERSON,WRK,East Peltason Dr,,,Irvine,CA,92697,US,Y,Y
10219,KFS-TEM-KRIM-ADDR-0034,KFS1052,PERSON,WRK,East Peltason Dr,,,Irvine,CA,92697,US,Y,Y
10220,KFS-TEM-KRIM-ADDR-0035,KFS2535,PERSON,WRK,East Peltason Dr,,,Irvine,CA,92697,US,Y,Y
10221,KFS-TEM-KRIM-ADDR-0036,KFS3510,PERSON,WRK,East Peltason Dr,,,Irvine,CA,92697,US,Y,Y
10222,KFS-TEM-KRIM-ADDR-0037,KFS1113,PERSON,WRK,East Peltason Dr,,,Irvine,CA,92697,US,Y,Y
10223,KFS-TEM-KRIM-ADDR-0038,KFS3399,PERSON,WRK,East Peltason Dr,,,Irvine,CA,92697,US,Y,Y
10224,KFS-TEM-KRIM-ADDR-0039,KFS2648,PERSON,WRK,East Peltason Dr,,,Irvine,CA,92697,US,Y,Y
10225,KFS-TEM-KRIM-ADDR-0040,KFS2801,PERSON,WRK,East Peltason Dr,,,Irvine,CA,92697,US,Y,Y
10226,KFS-TEM-KRIM-ADDR-0041,KFS2534,PERSON,WRK,East Peltason Dr,,,Irvine,CA,92697,US,Y,Y
10227,KFS-TEM-KRIM-ADDR-0042,KFS1520,PERSON,WRK,East Peltason Dr,,,Irvine,CA,92697,US,Y,Y
10228,KFS-TEM-KRIM-ADDR-0043,KFS2019,PERSON,WRK,East Peltason Dr,,,Irvine,CA,92697,US,Y,Y
10229,KFS-TEM-KRIM-ADDR-0044,KFS3923,PERSON,WRK,East Peltason Dr,,,Irvine,CA,92697,US,Y,Y
10230,KFS-TEM-KRIM-ADDR-0045,KFS3691,PERSON,WRK,East Peltason Dr,,,Irvine,CA,92697,US,Y,Y
10231,KFS-TEM-KRIM-ADDR-0046,KFS2284,PERSON,WRK,East Peltason Dr,,,Irvine,CA,92697,US,Y,Y
10232,KFS-TEM-KRIM-ADDR-0047,KFS2891,PERSON,WRK,East Peltason Dr,,,Irvine,CA,92697,US,Y,Y
10233,KFS-TEM-KRIM-ADDR-0048,KFS3652,PERSON,WRK,East Peltason Dr,,,Irvine,CA,92697,US,Y,Y
10234,KFS-TEM-KRIM-ADDR-0049,KFS3931,PERSON,WRK,East Peltason Dr,,,Irvine,CA,92697,US,Y,Y
10235,KFS-TEM-KRIM-ADDR-0050,KFS3017,PERSON,WRK,East Peltason Dr,,,Irvine,CA,92697,US,Y,Y
10236,KFS-TEM-KRIM-ADDR-0051,KFS3666,PERSON,WRK,East Peltason Dr,,,Irvine,CA,92697,US,Y,Y
10237,KFS-TEM-KRIM-ADDR-0052,KFS3247,PERSON,WRK,East Peltason Dr,,,Irvine,CA,92697,US,Y,Y
10238,KFS-TEM-KRIM-ADDR-0053,KFS3423,PERSON,WRK,East Peltason Dr,,,Irvine,CA,92697,US,Y,Y
10239,KFS-TEM-KRIM-ADDR-0054,KFS4046,PERSON,WRK,East Peltason Dr,,,Irvine,CA,92697,US,Y,Y
10240,KFS-TEM-KRIM-ADDR-0055,1125,PERSON,WRK,East Peltason Dr,,,Irvine,CA,92697,US,Y,Y
10241,KFS-TEM-KRIM-ADDR-0056,1126,PERSON,WRK,East Peltason Dr,,,Irvine,CA,92697,US,Y,Y
10242,KFS-TEM-KRIM-ADDR-0057,1129,PERSON,WRK,East Peltason Dr,,,Irvine,CA,92697,US,Y,Y
10243,KFS-TEM-KRIM-ADDR-0058,1130,PERSON,WRK,East Peltason Dr,,,Irvine,CA,92697,US,Y,Y
10244,KFS-TEM-KRIM-ADDR-0059,1135,PERSON,WRK,East Peltason Dr,,,Irvine,CA,92697,US,Y,Y
10245,KFS-TEM-KRIM-ADDR-0060,1121,PERSON,WRK,East Peltason Dr,,,Irvine,CA,92697,US,Y,Y
10246,KFS-TEM-KRIM-ADDR-0061,1116,PERSON,WRK,East Peltason Dr,,,Irvine,CA,92697,US,Y,Y
10247,KFS-TEM-KRIM-ADDR-0062,1114,PERSON,WRK,East Peltason Dr,,,Irvine,CA,92697,US,Y,Y
10248,KFS-TEM-KRIM-ADDR-0063,1137,PERSON,WRK,East Peltason Dr,,,Irvine,CA,92697,US,Y,Y
10249,KFS-TEM-KRIM-ADDR-0064,1115,PERSON,WRK,East Peltason Dr,,,Irvine,CA,92697,US,Y,Y
10250,KFS-TEM-KRIM-ADDR-0065,1117,PERSON,WRK,East Peltason Dr,,,Irvine,CA,92697,US,Y,Y
10251,KFS-TEM-KRIM-ADDR-0066,1119,PERSON,WRK,East Peltason Dr,,,Irvine,CA,92697,US,Y,Y
10252,KFS-TEM-KRIM-ADDR-0067,1120,PERSON,WRK,East Peltason Dr,,,Irvine,CA,92697,US,Y,Y
10253,KFS-TEM-KRIM-ADDR-0068,1118,PERSON,WRK,East Peltason Dr,,,Irvine,CA,92697,US,Y,Y
10254,KFS-TEM-KRIM-ADDR-0069,1122,PERSON,WRK,East Peltason Dr,,,Irvine,CA,92697,US,Y,Y
10255,KFS-TEM-KRIM-ADDR-0070,1123,PERSON,WRK,East Peltason Dr,,,Irvine,CA,92697,US,Y,Y
10256,KFS-TEM-KRIM-ADDR-0071,1124,PERSON,WRK,East Peltason Dr,,,Irvine,CA,92697,US,Y,Y
10257,KFS-TEM-KRIM-ADDR-0072,1136,PERSON,WRK,East Peltason Dr,,,Irvine,CA,92697,US,Y,Y
10258,KFS-TEM-KRIM-ADDR-0073,1133,PERSON,WRK,East Peltason Dr,,,Irvine,CA,92697,US,Y,Y
10259,KFS-TEM-KRIM-ADDR-0074,1131,PERSON,WRK,East Peltason Dr,,,Irvine,CA,92697,US,Y,Y
10260,KFS-TEM-KRIM-ADDR-0075,1132,PERSON,WRK,East Peltason Dr,,,Irvine,CA,92697,US,Y,Y
10261,KFS-TEM-KRIM-ADDR-0076,1109,PERSON,WRK,East Peltason Dr,,,Irvine,CA,92697,US,Y,Y
10262,KFS-TEM-KRIM-ADDR-0077,1134,PERSON,WRK,East Peltason Dr,,,Irvine,CA,92697,US,Y,Y
10263,KFS-TEM-KRIM-ADDR-0078,1127,PERSON,WRK,East Peltason Dr,,,Irvine,CA,92697,US,Y,Y
10264,KFS-TEM-KRIM-ADDR-0079,1128,PERSON,WRK,East Peltason Dr,,,Irvine,CA,92697,US,Y,Y
10265,KFS-TEM-KRIM-ADDR-0080,1101,PERSON,WRK,East Peltason Dr,,,Irvine,CA,92697,US,Y,Y
10266,KFS-TEM-KRIM-ADDR-0081,1102,PERSON,WRK,East Peltason Dr,,,Irvine,CA,92697,US,Y,Y
10267,KFS-TEM-KRIM-ADDR-0082,1103,PERSON,WRK,East Peltason Dr,,,Irvine,CA,92697,US,Y,Y
10268,KFS-TEM-KRIM-ADDR-0083,1104,PERSON,WRK,East Peltason Dr,,,Irvine,CA,92697,US,Y,Y
10269,KFS-TEM-KRIM-ADDR-0084,1105,PERSON,WRK,East Peltason Dr,,,Irvine,CA,92697,US,Y,Y
10270,KFS-TEM-KRIM-ADDR-0085,1106,PERSON,WRK,East Peltason Dr,,,Irvine,CA,92697,US,Y,Y
10271,KFS-TEM-KRIM-ADDR-0086,1107,PERSON,WRK,East Peltason Dr,,,Irvine,CA,92697,US,Y,Y
10272,KFS-TEM-KRIM-ADDR-0087,1108,PERSON,WRK,East Peltason Dr,,,Irvine,CA,92697,US,Y,Y
10273,KFS-TEM-KRIM-ADDR-0088,1110,PERSON,WRK,East Peltason Dr,,,Irvine,CA,92697,US,Y,Y
10274,KFS-TEM-KRIM-ADDR-0089,1111,PERSON,WRK,East Peltason Dr,,,Irvine,CA,92697,US,Y,Y
10275,KFS-TEM-KRIM-ADDR-0090,1112,PERSON,WRK,East Peltason Dr,,,Irvine,CA,92697,US,Y,Y
10276,KFS-TEM-KRIM-ADDR-0091,1113,PERSON,WRK,East Peltason Dr,,,Irvine,CA,92697,US,Y,Y
10277,KFS-TEM-KRIM-ADDR-0092,KFS1001,PERSON,WRK,East Peltason Dr,,,Irvine,CA,92697,US,Y,Y
10278,KFS-TEM-KRIM-ADDR-0093,KFS4017,PERSON,WRK,East Peltason Dr,,,Irvine,CA,92697,US,Y,Y
10279,KFS-TEM-KRIM-ADDR-0094,KFS3698,PERSON,WRK,East Peltason Dr,,,Irvine,CA,92697,US,Y,Y
10280,KFS-TEM-KRIM-ADDR-0095,KFS3681,PERSON,WRK,East Peltason Dr,,,Irvine,CA,92697,US,Y,Y
10281,KFS-TEM-KRIM-ADDR-0096,KFS3248,PERSON,WRK,East Peltason Dr,,,Irvine,CA,92697,US,Y,Y
10282,KFS-TEM-KRIM-ADDR-0097,KFS3194,PERSON,WRK,East Peltason Dr,,,Irvine,CA,92697,US,Y,Y
10283,KFS-TEM-KRIM-ADDR-0098,KFS3080,PERSON,WRK,East Peltason Dr,,,Irvine,CA,92697,US,Y,Y
10284,KFS-TEM-KRIM-ADDR-0099,KFS3349,PERSON,WRK,East Peltason Dr,,,Irvine,CA,92697,US,Y,Y
10285,KFS-TEM-KRIM-ADDR-0100,KFS3304,PERSON,WRK,East Peltason Dr,,,Irvine,CA,92697,US,Y,Y
10286,KFS-TEM-KRIM-ADDR-0101,KFS1016,PERSON,WRK,East Peltason Dr,,,Irvine,CA,92697,US,Y,Y
10287,KFS-TEM-KRIM-ADDR-0102,KFS3067,PERSON,WRK,East Peltason Dr,,,Irvine,CA,92697,US,Y,Y
10288,KFS-TEM-KRIM-ADDR-0103,KFS3447,PERSON,WRK,East Peltason Dr,,,Irvine,CA,92697,US,Y,Y
10289,KFS-TEM-KRIM-ADDR-0104,KFS3996,PERSON,WRK,East Peltason Dr,,,Irvine,CA,92697,US,Y,Y
10290,KFS-TEM-KRIM-ADDR-0105,KFS3547,PERSON,WRK,East Peltason Dr,,,Irvine,CA,92697,US,Y,Y
10291,KFS-TEM-KRIM-ADDR-0106,KFS3256,PERSON,WRK,East Peltason Dr,,,Irvine,CA,92697,US,Y,Y
10292,KFS-TEM-KRIM-ADDR-0107,KFS3129,PERSON,WRK,East Peltason Dr,,,Irvine,CA,92697,US,Y,Y
10293,KFS-TEM-KRIM-ADDR-0108,KFS3048,PERSON,WRK,East Peltason Dr,,,Irvine,CA,92697,US,Y,Y
10294,KFS-TEM-KRIM-ADDR-0109,KFS2865,PERSON,WRK,East Peltason Dr,,,Irvine,CA,92697,US,Y,Y
10295,KFS-TEM-KRIM-ADDR-0110,KFS3463,PERSON,WRK,East Peltason Dr,,,Irvine,CA,92697,US,Y,Y
10296,KFS-TEM-KRIM-ADDR-0111,KFS3630,PERSON,WRK,East Peltason Dr,,,Irvine,CA,92697,US,Y,Y
10297,KFS-TEM-KRIM-ADDR-0112,KFS3315,PERSON,WRK,East Peltason Dr,,,Irvine,CA,92697,US,Y,Y
10298,KFS-TEM-KRIM-ADDR-0113,KFS2923,PERSON,WRK,East Peltason Dr,,,Irvine,CA,92697,US,Y,Y
10299,KFS-TEM-KRIM-ADDR-0114,KFS3680,PERSON,WRK,East Peltason Dr,,,Irvine,CA,92697,US,Y,Y
10300,KFS-TEM-KRIM-ADDR-0115,KFS3066,PERSON,WRK,East Peltason Dr,,,Irvine,CA,92697,US,Y,Y
10301,KFS-TEM-KRIM-ADDR-0116,KFS3438,PERSON,WRK,East Peltason Dr,,,Irvine,CA,92697,US,Y,Y
10302,KFS-TEM-KRIM-ADDR-0117,KFS3397,PERSON,WRK,East Peltason Dr,,,Irvine,CA,92697,US,Y,Y
10303,KFS-TEM-KRIM-ADDR-0118,KFS1115,PERSON,WRK,East Peltason Dr,,,Irvine,CA,92697,US,Y,Y
10304,KFS-TEM-KRIM-ADDR-0119,KFS3233,PERSON,WRK,East Peltason Dr,,,Irvine,CA,92697,US,Y,Y
10305,KFS-TEM-KRIM-ADDR-0120,KFS3346,PERSON,WRK,East Peltason Dr,,,Irvine,CA,92697,US,Y,Y
10306,KFS-TEM-KRIM-ADDR-0121,KFS3287,PERSON,WRK,East Peltason Dr,,,Irvine,CA,92697,US,Y,Y
10307,KFS-TEM-KRIM-ADDR-0122,KFS2825,PERSON,WRK,East Peltason Dr,,,Irvine,CA,92697,US,Y,Y
10308,KFS-TEM-KRIM-ADDR-0123,KFS2996,PERSON,WRK,East Peltason Dr,,,Irvine,CA,92697,US,Y,Y
10309,KFS-TEM-KRIM-ADDR-0124,KFS3407,PERSON,WRK,East Peltason Dr,,,Irvine,CA,92697,US,Y,Y
10310,KFS-TEM-KRIM-ADDR-0125,KFS3688,PERSON,WRK,East Peltason Dr,,,Irvine,CA,92697,US,Y,Y
10000,KFS-TEM-KRIM-ADDR-0126,KFS2876,PERSON,WRK,East Peltason Dr,,,Irvine,CA,92697,US,Y,Y
10001,KFS-TEM-KRIM-ADDR-0127,KFS2937,PERSON,WRK,East Peltason Dr,,,Irvine,CA,92697,US,Y,Y
10002,KFS-TEM-KRIM-ADDR-0128,KFS2829,PERSON,WRK,East Peltason Dr,,,Irvine,CA,92697,US,Y,Y
10003,KFS-TEM-KRIM-ADDR-0129,KFS3714,PERSON,WRK,East Peltason Dr,,,Irvine,CA,92697,US,Y,Y
10004,KFS-TEM-KRIM-ADDR-0130,KFS3239,PERSON,WRK,East Peltason Dr,,,Irvine,CA,92697,US,Y,Y
10005,KFS-TEM-KRIM-ADDR-0131,KFS3132,PERSON,WRK,East Peltason Dr,,,Irvine,CA,92697,US,Y,Y
10006,KFS-TEM-KRIM-ADDR-0132,KFS3102,PERSON,WRK,East Peltason Dr,,,Irvine,CA,92697,US,Y,Y
10007,KFS-TEM-KRIM-ADDR-0133,KFS3913,PERSON,WRK,East Peltason Dr,,,Irvine,CA,92697,US,Y,Y
10008,KFS-TEM-KRIM-ADDR-0134,KFS3388,PERSON,WRK,East Peltason Dr,,,Irvine,CA,92697,US,Y,Y
10009,KFS-TEM-KRIM-ADDR-0135,KFS1315,PERSON,WRK,East Peltason Dr,,,Irvine,CA,92697,US,Y,Y
10010,KFS-TEM-KRIM-ADDR-0136,KFS1012,PERSON,WRK,East Peltason Dr,,,Irvine,CA,92697,US,Y,Y
10011,KFS-TEM-KRIM-ADDR-0137,KFS3453,PERSON,WRK,East Peltason Dr,,,Irvine,CA,92697,US,Y,Y
10012,KFS-TEM-KRIM-ADDR-0138,KFS1078,PERSON,WRK,East Peltason Dr,,,Irvine,CA,92697,US,Y,Y
10013,KFS-TEM-KRIM-ADDR-0139,KFS3503,PERSON,WRK,East Peltason Dr,,,Irvine,CA,92697,US,Y,Y
10014,KFS-TEM-KRIM-ADDR-0140,KFS3433,PERSON,WRK,East Peltason Dr,,,Irvine,CA,92697,US,Y,Y
10015,KFS-TEM-KRIM-ADDR-0141,KFS2800,PERSON,WRK,East Peltason Dr,,,Irvine,CA,92697,US,Y,Y
10016,KFS-TEM-KRIM-ADDR-0142,KFS3900,PERSON,WRK,East Peltason Dr,,,Irvine,CA,92697,US,Y,Y
10017,KFS-TEM-KRIM-ADDR-0143,KFS3949,PERSON,WRK,East Peltason Dr,,,Irvine,CA,92697,US,Y,Y
10018,KFS-TEM-KRIM-ADDR-0144,KFS3979,PERSON,WRK,East Peltason Dr,,,Irvine,CA,92697,US,Y,Y
10019,KFS-TEM-KRIM-ADDR-0145,KFS3952,PERSON,WRK,East Peltason Dr,,,Irvine,CA,92697,US,Y,Y
10020,KFS-TEM-KRIM-ADDR-0146,KFS1334,PERSON,WRK,East Peltason Dr,,,Irvine,CA,92697,US,Y,Y
10021,KFS-TEM-KRIM-ADDR-0147,KFS3509,PERSON,WRK,East Peltason Dr,,,Irvine,CA,92697,US,Y,Y
10022,KFS-TEM-KRIM-ADDR-0148,KFS3993,PERSON,WRK,East Peltason Dr,,,Irvine,CA,92697,US,Y,Y
10023,KFS-TEM-KRIM-ADDR-0149,KFS3439,PERSON,WRK,East Peltason Dr,,,Irvine,CA,92697,US,Y,Y
10024,KFS-TEM-KRIM-ADDR-0150,KFS3207,PERSON,WRK,East Peltason Dr,,,Irvine,CA,92697,US,Y,Y
10025,KFS-TEM-KRIM-ADDR-0151,KFS2567,PERSON,WRK,East Peltason Dr,,,Irvine,CA,92697,US,Y,Y
10026,KFS-TEM-KRIM-ADDR-0152,KFS3052,PERSON,WRK,East Peltason Dr,,,Irvine,CA,92697,US,Y,Y
10027,KFS-TEM-KRIM-ADDR-0153,KFS2629,PERSON,WRK,East Peltason Dr,,,Irvine,CA,92697,US,Y,Y
10028,KFS-TEM-KRIM-ADDR-0154,KFS2943,PERSON,WRK,East Peltason Dr,,,Irvine,CA,92697,US,Y,Y
10029,KFS-TEM-KRIM-ADDR-0155,KFS3330,PERSON,WRK,East Peltason Dr,,,Irvine,CA,92697,US,Y,Y
10030,KFS-TEM-KRIM-ADDR-0156,KFS1232,PERSON,WRK,East Peltason Dr,,,Irvine,CA,92697,US,Y,Y
10031,KFS-TEM-KRIM-ADDR-0157,KFS3821,PERSON,WRK,East Peltason Dr,,,Irvine,CA,92697,US,Y,Y
10032,KFS-TEM-KRIM-ADDR-0158,KFS3829,PERSON,WRK,East Peltason Dr,,,Irvine,CA,92697,US,Y,Y
10033,KFS-TEM-KRIM-ADDR-0159,KFS3000,PERSON,WRK,East Peltason Dr,,,Irvine,CA,92697,US,Y,Y
10034,KFS-TEM-KRIM-ADDR-0160,KFS3430,PERSON,WRK,East Peltason Dr,,,Irvine,CA,92697,US,Y,Y
10035,KFS-TEM-KRIM-ADDR-0161,KFS2376,PERSON,WRK,East Peltason Dr,,,Irvine,CA,92697,US,Y,Y
10036,KFS-TEM-KRIM-ADDR-0162,KFS1107,PERSON,WRK,East Peltason Dr,,,Irvine,CA,92697,US,Y,Y
10037,KFS-TEM-KRIM-ADDR-0163,KFS2936,PERSON,WRK,East Peltason Dr,,,Irvine,CA,92697,US,Y,Y
10038,KFS-TEM-KRIM-ADDR-0164,KFS3071,PERSON,WRK,East Peltason Dr,,,Irvine,CA,92697,US,Y,Y
10039,KFS-TEM-KRIM-ADDR-0165,KFS2844,PERSON,WRK,East Peltason Dr,,,Irvine,CA,92697,US,Y,Y
10040,KFS-TEM-KRIM-ADDR-0166,KFS2578,PERSON,WRK,East Peltason Dr,,,Irvine,CA,92697,US,Y,Y
10041,KFS-TEM-KRIM-ADDR-0167,KFS3490,PERSON,WRK,East Peltason Dr,,,Irvine,CA,92697,US,Y,Y
10042,KFS-TEM-KRIM-ADDR-0168,KFS2984,PERSON,WRK,East Peltason Dr,,,Irvine,CA,92697,US,Y,Y
10043,KFS-TEM-KRIM-ADDR-0169,KFS3639,PERSON,WRK,East Peltason Dr,,,Irvine,CA,92697,US,Y,Y
10044,KFS-TEM-KRIM-ADDR-0170,KFS3314,PERSON,WRK,East Peltason Dr,,,Irvine,CA,92697,US,Y,Y
10045,KFS-TEM-KRIM-ADDR-0171,KFS3336,PERSON,WRK,East Peltason Dr,,,Irvine,CA,92697,US,Y,Y
10046,KFS-TEM-KRIM-ADDR-0172,KFS3571,PERSON,WRK,East Peltason Dr,,,Irvine,CA,92697,US,Y,Y
10047,KFS-TEM-KRIM-ADDR-0173,KFS2780,PERSON,WRK,East Peltason Dr,,,Irvine,CA,92697,US,Y,Y
10048,KFS-TEM-KRIM-ADDR-0174,KFS1013,PERSON,WRK,East Peltason Dr,,,Irvine,CA,92697,US,Y,Y
10049,KFS-TEM-KRIM-ADDR-0175,KFS2857,PERSON,WRK,East Peltason Dr,,,Irvine,CA,92697,US,Y,Y
10050,KFS-TEM-KRIM-ADDR-0176,KFS3782,PERSON,WRK,East Peltason Dr,,,Irvine,CA,92697,US,Y,Y
10051,KFS-TEM-KRIM-ADDR-0177,KFS2849,PERSON,WRK,East Peltason Dr,,,Irvine,CA,92697,US,Y,Y
10052,KFS-TEM-KRIM-ADDR-0178,KFS3903,PERSON,WRK,East Peltason Dr,,,Irvine,CA,92697,US,Y,Y
10053,KFS-TEM-KRIM-ADDR-0179,KFS3745,PERSON,WRK,East Peltason Dr,,,Irvine,CA,92697,US,Y,Y
10054,KFS-TEM-KRIM-ADDR-0180,KFS3728,PERSON,WRK,East Peltason Dr,,,Irvine,CA,92697,US,Y,Y
10055,KFS-TEM-KRIM-ADDR-0181,KFS3204,PERSON,WRK,East Peltason Dr,,,Irvine,CA,92697,US,Y,Y
10056,KFS-TEM-KRIM-ADDR-0182,KFS3608,PERSON,WRK,East Peltason Dr,,,Irvine,CA,92697,US,Y,Y
10057,KFS-TEM-KRIM-ADDR-0183,KFS3368,PERSON,WRK,East Peltason Dr,,,Irvine,CA,92697,US,Y,Y
10058,KFS-TEM-KRIM-ADDR-0184,KFS3481,PERSON,WRK,East Peltason Dr,,,Irvine,CA,92697,US,Y,Y
10059,KFS-TEM-KRIM-ADDR-0185,KFS3217,PERSON,WRK,East Peltason Dr,,,Irvine,CA,92697,US,Y,Y
10060,KFS-TEM-KRIM-ADDR-0186,KFS3627,PERSON,WRK,East Peltason Dr,,,Irvine,CA,92697,US,Y,Y
10061,KFS-TEM-KRIM-ADDR-0187,KFS3584,PERSON,WRK,East Peltason Dr,,,Irvine,CA,92697,US,Y,Y
10062,KFS-TEM-KRIM-ADDR-0188,KFS2826,PERSON,WRK,East Peltason Dr,,,Irvine,CA,92697,US,Y,Y
10063,KFS-TEM-KRIM-ADDR-0189,KFS3373,PERSON,WRK,East Peltason Dr,,,Irvine,CA,92697,US,Y,Y
10064,KFS-TEM-KRIM-ADDR-0190,KFS3401,PERSON,WRK,East Peltason Dr,,,Irvine,CA,92697,US,Y,Y
10065,KFS-TEM-KRIM-ADDR-0191,KFS3871,PERSON,WRK,East Peltason Dr,,,Irvine,CA,92697,US,Y,Y
10066,KFS-TEM-KRIM-ADDR-0192,KFS2582,PERSON,WRK,East Peltason Dr,,,Irvine,CA,92697,US,Y,Y
10067,KFS-TEM-KRIM-ADDR-0193,KFS3507,PERSON,WRK,East Peltason Dr,,,Irvine,CA,92697,US,Y,Y
10068,KFS-TEM-KRIM-ADDR-0194,KFS1108,PERSON,WRK,East Peltason Dr,,,Irvine,CA,92697,US,Y,Y
10069,KFS-TEM-KRIM-ADDR-0195,KFS3799,PERSON,WRK,East Peltason Dr,,,Irvine,CA,92697,US,Y,Y
10070,KFS-TEM-KRIM-ADDR-0196,KFS3991,PERSON,WRK,East Peltason Dr,,,Irvine,CA,92697,US,Y,Y
10071,KFS-TEM-KRIM-ADDR-0197,KFS2909,PERSON,WRK,East Peltason Dr,,,Irvine,CA,92697,US,Y,Y
10072,KFS-TEM-KRIM-ADDR-0198,KFS2781,PERSON,WRK,East Peltason Dr,,,Irvine,CA,92697,US,Y,Y
10073,KFS-TEM-KRIM-ADDR-0199,KFS1077,PERSON,WRK,East Peltason Dr,,,Irvine,CA,92697,US,Y,Y
10074,KFS-TEM-KRIM-ADDR-0200,KFS3108,PERSON,WRK,East Peltason Dr,,,Irvine,CA,92697,US,Y,Y
