"ENTITY_NM_ID","OBJ_ID","ENTITY_ID","NM_TYP_CD","FIRST_NM","MIDDLE_NM","LAST_NM","SUFFIX_NM","TITLE_NM","DFLT_IND","ACTV_IND"
"1106","1106","1106","PRFR","LILA","L","FUDGE","","","Y","Y"
"1107","1107","1107","PRFR","KIRBY","E","WALCOTT","","","Y","Y"
"1108","1108","1108","PRFR","VICENTE","F","HADDOCK","","","Y","Y"
"1109","1109","1109","PRFR","CHARLENE","X","TEDESCHI","","","Y","Y"
"1110","1110","1110","PRFR","TERESA","W","TONEY","","","Y","Y"
"1111","1111","1111","PRFR","GWENDOLYN","B","CRAVENS","","","Y","Y"
"1112","1112","1112","PRFR","HALLIE","F","MONTENEGRO","","","Y","Y"
"1113","1113","1113","PRFR","JAKE","Q","SHARP","","","Y","Y"
"1114","1114","1114","PRFR","EARLINE","I","WINDER","","","Y","Y"
"1115","1115","1115","PRFR","TODD","I","MCDAVID","","","Y","Y"
"1117","1117","1117","PRFR","MARK","Z","MOFFITT","","","Y","Y"
"1122","1122","1122","PRFR","HESTER","K","PACE","","","Y","Y"
"1123","1123","1123","PRFR","TANYA","N","PIOTROWSKI","","","Y","Y"
"1124","1124","1124","PRFR","COLIN","S","REAL","","","Y","Y"
"1125","1125","1125","PRFR","FAYE","H","HERSH","","","Y","Y"
"1137","1137","1137","PRFR","RANDAL","G","EDMUNDS","","","Y","Y"
"1138","1138","1138","PRFR","ADOLPH","L","COCHRANE","","","Y","Y"
"1143","1143","1143","PRFR","MAXINE","C","INFANTE","","","Y","Y"
"1146","1146","1146","PRFR","CLAIR","V","SINCLAIR","","","Y","Y"
"1165","1165","1165","PRFR","CHRISTOPER","Z","HUTTON","","","Y","Y"
"1168","1168","1168","PRFR","ROCHELLE","I","BOARDMAN","","","Y","Y"
"1172","1172","1172","PRFR","MELISA","Y","LOVELADY","","","Y","Y"
"1231","1231","1231","PRFR","OCTAVIO","O","MARCHANT","","","Y","Y"
"1232","1232","1232","PRFR","MORGAN","E","LANE","","","Y","Y"
"1264","1264","1264","PRFR","LACEY","N","CORY","","","Y","Y"
"1309","1309","1309","PRFR","JOHNATHAN","P","PANKEY","","","Y","Y"
"1315","1315","1315","PRFR","BILLY","E","RISNER","","","Y","Y"
"1334","1334","1334","PRFR","EVERETT","E","CANTU","","","Y","Y"
"1337","1337","1337","PRFR","ANDRES","A","EMERY","","","Y","Y"
"1361","1361","1361","PRFR","ALFRED","W","ALBERTSON","","","Y","Y"
"1399","1399","1399","PRFR","WENDI","Z","RHINEHART","","","Y","Y"
"1423","1423","1423","PRFR","SCOTTIE","V","OXLEY","","","Y","Y"
"1433","1433","1433","PRFR","DUDLEY","N","JOHNSTONE","","","Y","Y"
"1438","1438","1438","PRFR","SHARI","Z","ALEXANDER","","","Y","Y"
"1441","1441","1441","PRFR","JOHNNY","S","ALFORD","","","Y","Y"
"1444","1444","1444","PRFR","CLARA","N","MATTOS","","","Y","Y"
"1453","1453","1453","PRFR","ROBT","A","IRELAND","","","Y","Y"
"1455","1455","1455","PRFR","HORACIO","A","DEGROOT","","","Y","Y"
"1470","1470","1470","PRFR","LORRAINE","R","WESTERN","","","Y","Y"
"1482","1482","1482","PRFR","HALEY","T","EPPS","","","Y","Y"
"1515","1515","1515","PRFR","JASON","C","REICH","","","Y","Y"
"1520","1520","1520","PRFR","XAVIER","Q","RIPPY","","","Y","Y"
"1525","1525","1525","PRFR","WAYNE","M","GRILLO","","","Y","Y"
"1526","1526","1526","PRFR","PAULETTE","T","DAUGHTRY","","","Y","Y"
"1531","1531","1531","PRFR","SERENA","Y","FREDRICK","","","Y","Y"
"1545","1545","1545","PRFR","GARTH","J","GARAY","","","Y","Y"
"1556","1556","1556","PRFR","LORI","F","COPLEY","","","Y","Y"
"1574","1574","1574","PRFR","EVAN","M","MELSON","","","Y","Y"
"1586","1586","1586","PRFR","WILLIE","F","DURR","","","Y","Y"
"1599","1599","1599","PRFR","BRENDAN","B","LEIGHTON","","","Y","Y"
"1601","1601","1601","PRFR","ARTURO","J","PEDIGO","","","Y","Y"
"1603","1603","1603","PRFR","JULIE","F","ISLEY","","","Y","Y"
"1625","1625","1625","PRFR","DIANN","A","GAILEY","","","Y","Y"
"1637","1637","1637","PRFR","CHRISTIAN","X","TUCK","","","Y","Y"
"1638","1638","1638","PRFR","ELVIA","M","CAGE","","","Y","Y"
"1656","1656","1656","PRFR","XAVIER","T","STUTZMAN","","","Y","Y"
"1676","1676","1676","PRFR","ISMAEL","Z","COTTLE","","","Y","Y"
"1686","1686","1686","PRFR","AVIS","X","HOWLETT","","","Y","Y"
"1689","1689","1689","PRFR","JANA","N","FEHR","","","Y","Y"
"1705","1705","1705","PRFR","REBECCA","B","AIKEN","","","Y","Y"
"1717","1717","1717","PRFR","MIRANDA","X","STARNES","","","Y","Y"
"1731","1731","1731","PRFR","BERYL","K","WEAR","","","Y","Y"
"1744","1744","1744","PRFR","QUINN","I","MARIN","","","Y","Y"
"1747","1747","1747","PRFR","LINDSEY","G","SWAREY","","","Y","Y"
"1783","1783","1783","PRFR","CARLY","O","EVANS","","","Y","Y"
"1861","1861","1861","PRFR","ROSS","X","CREAMER","","","Y","Y"
"1864","1864","1864","PRFR","JANELL","U","BYERLY","","","Y","Y"
"1870","1870","1870","PRFR","LUELLA","F","SAMPLES","","","Y","Y"
"1884","1884","1884","PRFR","QUINN","N","LAUX","","","Y","Y"
"2018","2018","2018","PRFR","KENDRICK","K","HEREFORD","","","Y","Y"
"2019","2019","2019","PRFR","BOBBIE","Q","KOENIG","","","Y","Y"
"2049","2049","2049","PRFR","ANN","N","SCHOCK","","","Y","Y"
"2053","2053","2053","PRFR","QUINCY","W","ESPINO","","","Y","Y"
"2062","2062","2062","PRFR","LAKISHA","L","HAN","","","Y","Y"
"2073","2073","2073","PRFR","BUFORD","B","SIMONE","","","Y","Y"
"2075","2075","2075","PRFR","ANNA","J","BREMER","","","Y","Y"
"2138","2138","2138","PRFR","ELDON","D","THAXTON","","","Y","Y"
"2163","2163","2163","PRFR","MARCY","L","POOLE","","","Y","Y"
"2204","2204","2204","PRFR","RONALD","B","LUNT","","","Y","Y"
"2224","2224","2224","PRFR","JUSTIN","H","WOLF","","","Y","Y"
"2227","2227","2227","PRFR","SHEENA","Y","ORTON","","","Y","Y"
"2230","2230","2230","PRFR","DONOVAN","M","MCMASTERS","","","Y","Y"
"2235","2235","2235","PRFR","CLAUDE","D","HENSHAW","","","Y","Y"
"2236","2236","2236","PRFR","JAY","S","ICKES","","","Y","Y"
"2247","2247","2247","PRFR","LELA","M","THURMAN","","","Y","Y"
"2284","2284","2284","PRFR","TRISTAN","Q","DAHL","","","Y","Y"
"2344","2344","2344","PRFR","KATELYN","U","KAY","","","Y","Y"
"2369","2369","2369","PRFR","LOIS","S","SOHN","","","Y","Y"
"2376","2376","2376","PRFR","ODELL","E","PEACOCK","","","Y","Y"
"2377","2377","2377","PRFR","MARI","E","BRODEUR","","","Y","Y"
"2382","2382","2382","PRFR","MIA","K","HORNING","","","Y","Y"
"2383","2383","2383","PRFR","STACEY","N","LONGORIA","","","Y","Y"
"2388","2388","2388","PRFR","TIMOTHY","D","AHRENS","","","Y","Y"
"2389","2389","2389","PRFR","SYLVIA","G","TURNBOW","","","Y","Y"
"2409","2409","2409","PRFR","NOREEN","E","ZEPEDA","","","Y","Y"
"2412","2412","2412","PRFR","MOLLIE","W","WILKEY","","","Y","Y"
"2492","2492","2492","PRFR","ERROL","I","LAWTON","","","Y","Y"
"2533","2533","2533","PRFR","ELAINE","J","SNODGRASS","","","Y","Y"
"2534","2534","2534","PRFR","REUBEN","Q","WOOLARD","","","Y","Y"
"2535","2535","2535","PRFR","PRESTON","Q","STALNAKER","","","Y","Y"
"2549","2549","2549","PRFR","GLENNA","C","MARIANI","","","Y","Y"
"2550","2550","2550","PRFR","KRISTY","C","LARRABEE","","","Y","Y"
"2552","2552","2552","PRFR","MILLARD","P","LANDER","","","Y","Y"
"2554","2554","2554","PRFR","VERN","O","HUNTLEY","","","Y","Y"
"2559","2559","2559","PRFR","HEIDI","K","REYNOLDS","","","Y","Y"
"2566","2566","2566","PRFR","YOLANDA","C","PEACHEY","","","Y","Y"
"2567","2567","2567","PRFR","ROOSEVELT","E","COFFEE","","","Y","Y"
"2568","2568","2568","PRFR","LADONNA","O","CANDELARIA","","","Y","Y"
"2578","2578","2578","PRFR","GAIL","E","ROBESON","","","Y","Y"
"2582","2582","2582","PRFR","ELIAS","F","LEY","","","Y","Y"
"2584","2584","2584","PRFR","TABATHA","U","CLANCY","","","Y","Y"
"2587","2587","2587","PRFR","SUSANNE","T","UPTON","","","Y","Y"
"2588","2588","2588","PRFR","KRISTI","B","BANNER","","","Y","Y"
"2593","2593","2593","PRFR","ROBBIE","S","BOCANEGRA","","","Y","Y"
"2594","2594","2594","PRFR","ELLEN","K","BAUER","","","Y","Y"
"2595","2595","2595","PRFR","MILES","K","RAWLINS","","","Y","Y"
"2602","2602","2602","PRFR","JASON","X","NAPOLI","","","Y","Y"
"2606","2606","2606","PRFR","ARRON","V","MALOY","","","Y","Y"
"2607","2607","2607","PRFR","GERMAN","P","HOM","","","Y","Y"
"2612","2612","2612","PRFR","FLORA","D","RAMSEY","","","Y","Y"
"2616","2616","2616","PRFR","WALLACE","B","BOULDIN","","","Y","Y"
"2621","2621","2621","PRFR","BENNY","D","BENEDICT","","","Y","Y"
"2629","2629","2629","PRFR","ISMAEL","E","JAHNKE","","","Y","Y"
"2631","2631","2631","PRFR","CAMERON","X","CARNES","","","Y","Y"
"2641","2641","2641","PRFR","WENDI","P","RHODEN","","","Y","Y"
"2646","2646","2646","PRFR","JEFFERY","Z","MYERS","","","Y","Y"
"2648","2648","2648","PRFR","LAMONT","Q","BROCK","","","Y","Y"
"2651","2651","2651","PRFR","LUCIO","Z","ROBINS","","","Y","Y"
"2655","2655","2655","PRFR","VALERIE","Z","RIENDEAU","","","Y","Y"
"2656","2656","2656","PRFR","CONNIE","T","BECKFORD","","","Y","Y"
"2657","2657","2657","PRFR","HEATHER","A","MCGOUGH","","","Y","Y"
"2658","2658","2658","PRFR","JARRED","F","INGRAHAM","","","Y","Y"
"2659","2659","2659","PRFR","LISA","R","BOROWSKI","","","Y","Y"
"2693","2693","2693","PRFR","ALAN","C","FEENEY","","","Y","Y"
"2694","2694","2694","PRFR","CESAR","S","HOLLY","","","Y","Y"
"2695","2695","2695","PRFR","MELISA","A","SHOEMAKE","","","Y","Y"
"2734","2734","2734","PRFR","GILBERT","A","THEODORE","","","Y","Y"
"2742","2742","2742","PRFR","ALEJANDRA","O","SCHEXNAYDER","","","Y","Y"
"2743","2743","2743","PRFR","ESTEBAN","I","AHLERS","","","Y","Y"
"2744","2744","2744","PRFR","GENARO","V","GOUGE","","","Y","Y"
"2745","2745","2745","PRFR","KRISTEN","Z","WESTERN","","","Y","Y"
"2746","2746","2746","PRFR","JONAH","T","BROCKWAY","","","Y","Y"
"2747","2747","2747","PRFR","LUPE","W","CANTU","","","Y","Y"
"2748","2748","2748","PRFR","IVA","J","HEDDEN","","","Y","Y"
"2749","2749","2749","PRFR","IVY","Z","HILLYER","","","Y","Y"
"2750","2750","2750","PRFR","JANNA","E","RICHARDS","","","Y","Y"
"2751","2751","2751","PRFR","TOMAS","Z","WESTCOTT","","","Y","Y"
"2752","2752","2752","PRFR","MONA","I","BARANOWSKI","","","Y","Y"
"2753","2753","2753","PRFR","BRIDGET","A","BERKLEY","","","Y","Y"
"2754","2754","2754","PRFR","MICKEY","S","MARIANO","","","Y","Y"
"2755","2755","2755","PRFR","DEBORA","Z","MARRUFO","","","Y","Y"
"2756","2756","2756","PRFR","MONA","T","MANCINI","","","Y","Y"
"2757","2757","2757","PRFR","GERALD","U","SHERRILL","","","Y","Y"
"2758","2758","2758","PRFR","EFREN","S","SIBLEY","","","Y","Y"
"2759","2759","2759","PRFR","LADONNA","N","BOYKIN","","","Y","Y"
"2760","2760","2760","PRFR","VIRGIE","M","DURDEN","","","Y","Y"
"2761","2761","2761","PRFR","JOEL","G","TONER","","","Y","Y"
"2762","2762","2762","PRFR","SONNY","C","CLINKSCALES","","","Y","Y"
"2763","2763","2763","PRFR","LOIS","Z","SEVERSON","","","Y","Y"
"2764","2764","2764","PRFR","BELINDA","R","HADFIELD","","","Y","Y"
"2765","2765","2765","PRFR","DOYLE","W","ALSTON","","","Y","Y"
"2766","2766","2766","PRFR","ANTONE","S","CARTER","","","Y","Y"
"2767","2767","2767","PRFR","ISABEL","T","MIXON","","","Y","Y"
"2768","2768","2768","PRFR","KRISTIE","K","YOUNGS","","","Y","Y"
"2769","2769","2769","PRFR","ESTER","G","REYNOSO","","","Y","Y"
"2770","2770","2770","PRFR","NATHAN","L","MCKAMEY","","","Y","Y"
"2771","2771","2771","PRFR","LES","Y","HAYNIE","","","Y","Y"
"2772","2772","2772","PRFR","VERNA","Q","STROUD","","","Y","Y"
"2773","2773","2773","PRFR","MARQUIS","O","MCBEE","","","Y","Y"
"2774","2774","2774","PRFR","NEAL","K","APPLETON","","","Y","Y"
"2775","2775","2775","PRFR","STUART","S","SALES","","","Y","Y"
"2776","2776","2776","PRFR","GREGG","O","POOLE","","","Y","Y"
"2777","2777","2777","PRFR","KITTY","Q","JACINTO","","","Y","Y"
"2778","2778","2778","PRFR","TRACIE","X","GUARINO","","","Y","Y"
"2779","2779","2779","PRFR","EMILE","L","GRAFF","","","Y","Y"
"2780","2780","2780","PRFR","HAROLD","F","FINCHER","","","Y","Y"
"2781","2781","2781","PRFR","JEFFRY","F","VELASQUEZ","","","Y","Y"
"2782","2782","2782","PRFR","RENE","K","RUMSEY","","","Y","Y"
"2783","2783","2783","PRFR","DALE","A","BAER","","","Y","Y"
"2784","2784","2784","PRFR","KATE","P","COSBY","","","Y","Y"
"2785","2785","2785","PRFR","JUDITH","J","STITT","","","Y","Y"
"2786","2786","2786","PRFR","DOMINIQUE","H","WILMOT","","","Y","Y"
"2787","2787","2787","PRFR","DESMOND","R","TOWNER","","","Y","Y"
"2788","2788","2788","PRFR","LINDSEY","X","SAVINO","","","Y","Y"
"2789","2789","2789","PRFR","CHARITY","J","SISCO","","","Y","Y"
"2790","2790","2790","PRFR","WILLIE","T","PARKE","","","Y","Y"
"2791","2791","2791","PRFR","SHEILA","F","CASE","","","Y","Y"
"2792","2792","2792","PRFR","DARWIN","X","WOOD","","","Y","Y"
"2793","2793","2793","PRFR","ELVA","J","LOFTIN","","","Y","Y"
"2794","2794","2794","PRFR","JAMAAL","P","BURRESS","","","Y","Y"
"2795","2795","2795","PRFR","TEDDY","L","BYRON","","","Y","Y"
"2796","2796","2796","PRFR","KENDALL","K","ROSE","","","Y","Y"
"2797","2797","2797","PRFR","MARTIN","C","HAGOOD","","","Y","Y"
"2798","2798","2798","PRFR","CORINNE","T","CAMPO","","","Y","Y"
"2799","2799","2799","PRFR","DION","G","RINGER","","","Y","Y"
"2800","2800","2800","PRFR","LEO","E","STURGILL","","","Y","Y"
"2801","2801","2801","PRFR","JUNIOR","Q","LAUER","","","Y","Y"
"2802","2802","2802","PRFR","ANGEL","X","WITTER","","","Y","Y"
"2803","2803","2803","PRFR","MELANIE","Z","TEDESCO","","","Y","Y"
"2804","2804","2804","PRFR","KATHRINE","E","KNOWLES","","","Y","Y"
"2805","2805","2805","PRFR","CASSIE","Y","MAGILL","","","Y","Y"
"2806","2806","2806","PRFR","THELMA","X","BUMGARNER","","","Y","Y"
"2807","2807","2807","PRFR","MAE","U","DAY","","","Y","Y"
"2808","2808","2808","PRFR","ELNORA","P","FARMER","","","Y","Y"
"2809","2809","2809","PRFR","STACI","S","STIDHAM","","","Y","Y"
"2810","2810","2810","PRFR","OWEN","M","VEGA","","","Y","Y"
"2811","2811","2811","PRFR","PHIL","Y","BLADES","","","Y","Y"
"2812","2812","2812","PRFR","SANDY","F","BROTHERTON","","","Y","Y"
"2813","2813","2813","PRFR","BROOKE","M","LANG","","","Y","Y"
"2814","2814","2814","PRFR","CHRISTA","E","FERRARO","","","Y","Y"
"2815","2815","2815","PRFR","WALLACE","C","ADAMSKI","","","Y","Y"
"2816","2816","2816","PRFR","HALLIE","A","BYNUM","","","Y","Y"
"2817","2817","2817","PRFR","TERRENCE","G","WATSON","","","Y","Y"
"2818","2818","2818","PRFR","DELMAR","M","FLOWERS","","","Y","Y"
"2819","2819","2819","PRFR","JACQUELINE","Z","TIPTON","","","Y","Y"
"2820","2820","2820","PRFR","SHAUNA","M","MOFFATT","","","Y","Y"
"2821","2821","2821","PRFR","GUS","M","SWITZER","","","Y","Y"
"2822","2822","2822","PRFR","LINWOOD","K","MULKEY","","","Y","Y"
"2823","2823","2823","PRFR","JOSEFA","W","CHURCH","","","Y","Y"
"2824","2824","2824","PRFR","SHAWN","B","MOORMAN","","","Y","Y"
"2825","2825","2825","PRFR","JULIAN","I","MOSER","","","Y","Y"
"2826","2826","2826","PRFR","MYRON","F","CHANG","","","Y","Y"
"2827","2827","2827","PRFR","JOHNIE","S","STEPHEN","","","Y","Y"
"2828","2828","2828","PRFR","BOB","R","SPARKS","","","Y","Y"
"2829","2829","2829","PRFR","ANDERSON","D","BURWELL","","","Y","Y"
"2830","2830","2830","PRFR","DELIA","E","MOTLEY","","","Y","Y"
"2831","2831","2831","PRFR","WILEY","T","LEAK","","","Y","Y"
"2832","2832","2832","PRFR","TAD","T","HATCHETT","","","Y","Y"
"2833","2833","2833","PRFR","WHITNEY","G","CARO","","","Y","Y"
"2834","2834","2834","PRFR","JACKIE","M","LACHANCE","","","Y","Y"
"2835","2835","2835","PRFR","PATTI","V","POTTER","","","Y","Y"
"2836","2836","2836","PRFR","GEOFFREY","R","ALLEY","","","Y","Y"
"2837","2837","2837","PRFR","ELBERT","D","RUBIO","","","Y","Y"
"2838","2838","2838","PRFR","KERI","P","TOWNER","","","Y","Y"
"2839","2839","2839","PRFR","RANDALL","O","KOWALCZYK","","","Y","Y"
"2840","2840","2840","PRFR","KARLA","R","EGBERT","","","Y","Y"
"2841","2841","2841","PRFR","NESTOR","Z","MCGUIRE","","","Y","Y"
"2842","2842","2842","PRFR","KENDRA","Z","PRIDEMORE","","","Y","Y"
"2843","2843","2843","PRFR","VINCE","J","LAROCHELLE","","","Y","Y"
"2844","2844","2844","PRFR","BORIS","E","HONEYCUTT","","","Y","Y"
"2845","2845","2845","PRFR","KATHRINE","F","QUARLES","","","Y","Y"
"2846","2846","2846","PRFR","JENNY","J","SEAVEY","","","Y","Y"
"2847","2847","2847","PRFR","ERNEST","Z","GORTON","","","Y","Y"
"2848","2848","2848","PRFR","DEVON","L","CARL","","","Y","Y"
"2849","2849","2849","PRFR","ANTONIO","F","KUNKEL","","","Y","Y"
"2850","2850","2850","PRFR","SAUNDRA","H","DOBSON","","","Y","Y"
"2851","2851","2851","PRFR","MARGIE","Y","SHACKLEFORD","","","Y","Y"
"2852","2852","2852","PRFR","ADELE","D","BOLDING","","","Y","Y"
"2853","2853","2853","PRFR","GWEN","Z","MCVEY","","","Y","Y"
"2854","2854","2854","PRFR","MABLE","V","SERRA","","","Y","Y"
"2855","2855","2855","PRFR","LEA","K","SWOPE","","","Y","Y"
"2856","2856","2856","PRFR","RENE","Z","ALVIS","","","Y","Y"
"2857","2857","2857","PRFR","ARTHUR","F","WASSERMAN","","","Y","Y"
"2858","2858","2858","PRFR","QUINCY","Y","PENCE","","","Y","Y"
"2859","2859","2859","PRFR","DARIO","S","SAUNDERS","","","Y","Y"
"2860","2860","2860","PRFR","WILLIAMS","J","WITTE","","","Y","Y"
"2861","2861","2861","PRFR","QUENTIN","N","FEATHERSTON","","","Y","Y"
