emplid|ver_nbr|person_nm|setid_salary|sal_admin_plan|grade|iu_classif_level|actv_ind|
0000000399|1.0|TOLEDO,MASON E|IUBLA|PAE|10|-|Y|
0000000400|1.0|CROSSON,HUNTER D|IUBLA|PAE|10|-|Y|
0000000401|1.0|RHINEHART,WENDI Z|IUBLA|AC1|AAM|PR|Y|
0000000402|1.0|SATTERFIELD,BEVERLY Z|IUBLA|AC1|AAM|PR|Y|
0000000416|1.0|RADER,KAY N|IUBLA|SS|0A|-|Y|
0000000417|1.0|RANDALL,BRIANA O|IUBLA|SS|0D|-|Y|
0000000418|1.0|ATENCIO,HENRIETTA X|IUBLA|AC1|AAM|PR|Y|
0000000419|1.0|LOY,PASQUALE L|IUBLA|AC1|AAM|PR|Y|
0000000420|1.0|OLIVERA,HOLLY H|IUBLA|PAE|10|-|Y|
0000000421|1.0|LANDRUM,TOD Y|IUBLA|PAE|10|-|Y|
0000000425|1.0|OXLEY,SCOTTIE V|IUBLA|SS|0A|-|Y|
0000000427|1.0|BURROUGHS,ELVA B|IUBLA|SS|0A|-|Y|
0000000429|1.0|WINCHELL,WALDO S|IUBLA|SS|0D|-|Y|
0000000431|1.0|COWAN,LOLITA B|IUBLA|AC1|AAM|PR|Y|
0000000433|1.0|MCHENRY,DEANNE J|IUBLA|AC1|AAM|PR|Y|
0000000436|1.0|STRINGFELLOW,MYLES B|IUBLA|PAE|10|-|Y|
0000000438|1.0|ICKES,RODRICK B|IUBLA|SS|0A|-|Y|
0000000440|1.0|ALEXANDER,SHARI Z|IUBLA|SS|0D|-|Y|
0000000482|1.0|QUEVEDO,MORGAN Q|IUBLA|AC1|AAM|PR|Y|
0000000484|1.0|EPPS,HALEY T|IUBLA|AC1|AAM|PR|Y|
0000000493|1.0|RUNION,ADOLPH U|IUBLA|AC1|AAM|PR|Y|
0000000495|1.0|SELMAN,SONJA J|IUBLA|AC1|AAM|PR|Y|
0000000511|1.0|REIMER,DESMOND E|IUBLA|SS|0A|-|Y|
0000000513|1.0|NOVOTNY,EDMOND J|IUBLA|SS|0D|-|Y|
0000000569|1.0|SHERRY,INES N|IUBLA|SS|0A|-|Y|
0000000581|1.0|ASHLEY,EDWINA H|IUBLA|PAE|10|-|Y|
0000000583|1.0|MARKHAM,KEISHA X|IUBLA|PAE|10|-|Y|
0000000613|1.0|YEH,STEFAN J|IUBLA|AC1|AAM|PR|Y|
0000000615|1.0|LIND,LUCIEN Q|IUBLA|AC1|AAM|PR|Y|
0000000620|1.0|DAHLBERG,PEARLIE H|IUBLA|SS|0A|-|Y|
0000000622|1.0|FRISCH,BEN D|IUBLA|SS|0D|-|Y|
0000000644|1.0|LOZANO,PATRICK K|IUBLA|SS|0A|-|Y|
0000000646|1.0|BRUMFIELD,NICOLAS S|IUBLA|SS|0D|-|Y|
0000000665|1.0|KENDALL,BEATRICE F|IUBLA|SS|0A|-|Y|
0000000667|1.0|DETWILER,ALANA S|IUBLA|SS|0D|-|Y|
0000000671|1.0|OKELLEY,MALINDA B|IUBLA|AC1|AAM|PR|Y|
0000000673|1.0|PFISTER,RANDI Q|IUBLA|AC1|AAM|PR|Y|
0000000674|1.0|SCHEXNAYDER,HELGA N|IUBLA|AC1|AAM|PR|Y|
0000000676|1.0|DOOLITTLE,YOLANDA L|IUBLA|AC1|AAM|PR|Y|
0000000686|1.0|IVES,FLORENCE B|IUBLA|PAE|10|-|Y|
0000000688|1.0|MARCH,SHELTON O|IUBLA|PAE|10|-|Y|
0000000740|1.0|ATWATER,BARNEY U|IUBLA|SS|0A|-|Y|
0000000742|1.0|STRAND,TERRIE S|IUBLA|SS|0D|-|Y|
0000000758|1.0|SAND,JERROD E|IUBLA|PAE|10|-|Y|
0000000760|1.0|DICARLO,TERRI T|IUBLA|PAE|10|-|Y|
0000000780|1.0|KISH,RALPH R|IUBLA|SS|0A|-|Y|
0000000782|1.0|GALINDO,BRENTON R|IUBLA|SS|0D|-|Y|
0000000788|1.0|CLARKE,JAMES F|IUBLA|SS|0A|-|Y|
0000000817|1.0|THEISEN,BRIANNA T|IUBLA|SS|0A|-|Y|
0000000842|1.0|LUCIA,JOAN Z|IUBLA|SS|0A|-|Y|
0000000844|1.0|RANDOLPH,ALMA A|IUBLA|SS|0A|-|Y|
0000000846|1.0|CHAUVIN,ADAN X|IUBLA|SS|0D|-|Y|
0000000848|1.0|GALVEZ,SAMMY G|IUBLA|SS|0A|-|Y|
0000000850|1.0|POLLOCK,MERCEDES M|IUBLA|AC1|AAM|PR|Y|
0000000856|1.0|SHANK,MARTY S|IUBLA|SS|0A|-|Y|
0000000858|1.0|CRUZ,MARJORIE C|IUBLA|SS|0D|-|Y|
0000000884|1.0|DODGE,DALTON A|IUBLA|AC1|AAM|PR|Y|
0000000886|1.0|HYDE,KAITLIN A|IUBLA|AC1|AAM|PR|Y|
0000000892|1.0|HINKLEY,COREY S|IUBLA|SS|0A|-|Y|
0000000894|1.0|YANEZ,KEITH X|IUBLA|SS|0D|-|Y|
0000000926|1.0|NADEAU,DEANNA G|IUBLA|SS|0A|-|Y|
0000000928|1.0|GARY,PATRICE B|IUBLA|SS|0D|-|Y|
0000000943|1.0|JORGE,KRISTOPHER S|IUBLA|SS|0A|-|Y|
0000000945|1.0|SCARBROUGH,FERNANDO Q|IUBLA|SS|0D|-|Y|
0000001015|1.0|YEPEZ,JANETTE J|IUBLA|AC1|AAM|PR|Y|
0000001017|1.0|WINSTEAD,GINO G|IUBLA|AC1|AAM|PR|Y|
0000001030|1.0|SHAFER,JIMMIE G|IUBLA|AC1|AAM|PR|Y|
0000001032|1.0|CARBONE,HOLLIE W|IUBLA|AC1|AAM|PR|Y|
0000001074|1.0|KENNEDY,DOYLE R|IUBLA|AC1|AAM|PR|Y|
0000001076|1.0|FISHER,LIZZIE D|IUBLA|AC1|AAM|PR|Y|
0000001089|1.0|NYGAARD,RUTH V|IUBLA|AC1|AAM|PR|Y|
0000001091|1.0|DAWKINS,BERYL T|IUBLA|AC1|AAM|PR|Y|
0000001163|1.0|MADDOX,CHAD O|IUBLA|PAE|10|-|Y|
0000001165|1.0|JUAREZ,ROSARIO M|IUBLA|PAE|10|-|Y|
0000001176|1.0|KNAPP,SASHA M|IUBLA|SS|0A|-|Y|
0000001180|1.0|MCCLINTON,PAT J|IUBLA|SS|0D|-|Y|
0000001212|1.0|FOGEL,MARGUERITE E|IUBLA|SS|0A|-|Y|
0000001216|1.0|RAGLAND,TRINA F|IUBLA|SS|0D|-|Y|
0000001226|1.0|BOWES,ERNIE D|IUBLA|AC1|AAM|PR|Y|
0000001227|1.0|DEVAULT,LEON J|IUBLA|AC1|AAM|PR|Y|
0000001229|1.0|BATCHELOR,COLEEN U|IUBLA|AC1|AAM|PR|Y|
0000001230|1.0|TROTTER,DEVON V|IUBLA|AC1|AAM|PR|Y|
0000001231|1.0|WOLF,JUSTIN H|IUBLA|AC1|AAM|PR|Y|
0000001233|1.0|HINES,MATT W|IUBLA|AC1|AAM|PR|Y|
0000001234|1.0|ORTON,SHEENA Y|IUBLA|AC1|AAM|PR|Y|
0000001235|1.0|FREITAS,KELSEY Z|IUBLA|AC1|AAM|PR|Y|
0000001239|1.0|MOTTA,TAD H|IUBLA|AC1|AAM|PR|Y|
0000001240|1.0|VOELKER,LAMONT L|IUBLA|AC1|AAM|PR|Y|
0000001243|1.0|ICKES,JAY S|IUBLA|AC1|AAM|PR|Y|
0000001244|1.0|EASTERDAY,TONIA P|IUBLA|AC1|AAM|PR|Y|
0000001249|1.0|BARRIOS,WILL F|IUBLA|AC1|AAM|PR|Y|
0000001252|1.0|SANTIAGO,CHUCK Z|IUBLA|AC1|AAM|PR|Y|
0000001253|1.0|GORDY,REINALDO M|IUBLA|AC1|AAM|PR|Y|
0000001256|1.0|MARABLE,KRISTI A|IUBLA|AC1|AAM|PR|Y|
0000001257|1.0|CARLISLE,JAIME N|IUBLA|AC1|AAM|PR|Y|
0000001259|1.0|ROYSTON,BERNADETTE E|IUBLA|AC1|AAM|PR|Y|
0000001260|1.0|BURROW,MARIANNE Z|IUBLA|AC1|AAM|PR|Y|
0000001261|1.0|MINER,BURT N|IUBLA|AC1|AAM|PR|Y|
0000001263|1.0|SPIERS,TOMMIE L|IUBLA|AC1|AAM|PR|Y|
0000001265|1.0|BOGARD,GILDA I|IUBLA|AC1|AAM|PR|Y|
0000001267|1.0|BARTELS,CLAYTON H|IUBLA|SS|0A|-|Y|
0000001269|1.0|CRAIGHEAD,ABDUL D|IUBLA|AC1|AAM|PR|Y|
0000001271|1.0|FORD,JEANNINE E|IUBLA|SS|0D|-|Y|
0000001275|1.0|VOIGHT,HOLLIE X|IUBLA|AC1|AAM|PR|Y|
0000001276|1.0|GUPTON,CRYSTAL Q|IUBLA|AC1|AAM|PR|Y|
0000001279|1.0|BERRYHILL,PATTY Z|IUBLA|AC1|AAM|PR|Y|
0000001280|1.0|GRIFFITH,LLOYD U|IUBLA|AC1|AAM|PR|Y|
0000001281|1.0|GEORGE,JOANNE Z|IUBLA|AC1|AAM|PR|Y|
0000001283|1.0|DELLINGER,BUFORD S|IUBLA|AC1|AAM|PR|Y|
0000001285|1.0|KEMPF,DEVIN B|IUBLA|AC1|AAM|PR|Y|
0000001291|1.0|DAHL,TRISTAN Q|IUBLA|SS|0A|-|Y|
0000001295|1.0|HAGANS,MARIO N|IUBLA|AC1|AAM|PR|Y|
0000001299|1.0|DEEGAN,BLAIR K|IUBLA|AC1|AAM|PR|Y|
0000001302|1.0|DOOLEY,SHARON V|IUBLA|AC1|AAM|PR|Y|
0000001303|1.0|NEVES,MARIO W|IUBLA|AC1|AAM|PR|Y|
0000001305|1.0|BONO,HARVEY C|IUBLA|SS|0A|-|Y|
0000001306|1.0|CLEMENTS,CONRAD N|IUBLA|AC1|AAM|PR|Y|
0000001310|1.0|BUCKLES,JOHNATHAN Q|IUBLA|SS|0A|-|Y|
0000001313|1.0|PANEK,EMILIO A|IUBLA|SS|0A|-|Y|
0000001314|1.0|RIDEOUT,NATASHA C|IUBLA|SS|0D|-|Y|
0000001315|1.0|VALDOVINOS,JARVIS U|IUBLA|PAE|10|-|Y|
0000001317|1.0|POSNER,EVERETT K|IUBLA|SS|0D|-|Y|
0000001319|1.0|BOCANEGRA,LUCIO Y|IUBLA|SS|0A|-|Y|
0000001320|1.0|RAILEY,EVANGELINE J|IUBLA|SS|0A|-|Y|
0000001321|1.0|BARNUM,JAMES D|IUBLA|SS|0A|-|Y|
0000001322|1.0|ZAPATA,BART W|IUBLA|SS|0A|-|Y|
0000001323|1.0|HENNESSY,CAREY S|IUBLA|SS|0D|-|Y|
0000001324|1.0|RESNICK,RHEA A|IUBLA|SS|0D|-|Y|
0000001325|1.0|REES,JOHNNY F|IUBLA|SS|0D|-|Y|
0000001326|1.0|STACY,RICO C|IUBLA|SS|0D|-|Y|
0000001329|1.0|JOHANSEN,REVA S|IUBLA|SS|0A|-|Y|
0000001332|1.0|MATIAS,STACEY Z|IUBLA|SS|0A|-|Y|
0000001333|1.0|SKELTON,GRACE I|IUBLA|SS|0A|-|Y|
0000001336|1.0|SLAY,WALDO D|IUBLA|SS|0D|-|Y|
0000001337|1.0|GOSSETT,ROSARIO W|IUBLA|SS|0D|-|Y|
0000001343|1.0|CHAVIS,LAVERNE U|IUBLA|AC1|AAM|PR|Y|
0000001346|1.0|EUBANKS,KAYLA C|IUBLA|SS|0A|-|Y|
0000001347|1.0|MCCLINTON,IMOGENE L|IUBLA|AC1|AAM|PR|Y|
0000001348|1.0|TRUELOVE,MARIANO J|IUBLA|SS|0A|-|Y|
0000001350|1.0|MAURICE,RAYMOND F|IUBLA|SS|0D|-|Y|
0000001351|1.0|KAY,KATELYN U|IUBLA|PAE|10|-|Y|
0000001355|1.0|JOHANSON,ANTONE U|IUBLA|SS|0A|-|Y|
0000001356|1.0|JINKS,EVA W|IUBLA|PAE|10|-|Y|
0000001357|1.0|KERN,SUSAN R|IUBLA|SS|0A|-|Y|
0000001359|1.0|COTTER,CORNELIUS V|IUBLA|SS|0D|-|Y|
0000001360|1.0|BOUSQUET,ARCHIE S|IUBLA|PAE|10|-|Y|
0000001361|1.0|WAGER,COLEEN F|IUBLA|SS|0D|-|Y|
0000001363|1.0|HUTTON,JARROD X|IUBLA|SS|0A|-|Y|
0000001364|1.0|KNORR,ALISHA W|IUBLA|SS|0A|-|Y|
0000001367|1.0|MCWILLIAMS,ANGIE M|IUBLA|SS|0D|-|Y|
0000001368|1.0|STATON,HARRIS X|IUBLA|SS|0D|-|Y|
0000001369|1.0|MAXON,KERMIT F|IUBLA|SS|0A|-|Y|
0000001374|1.0|MOODY,DILLON W|IUBLA|SS|0A|-|Y|
0000001378|1.0|HARGIS,ANTONIA E|IUBLA|SS|0D|-|Y|
0000001379|1.0|EMERY,BENNIE V|IUBLA|SS|0A|-|Y|
0000001381|1.0|SCHAUB,RUBEN V|IUBLA|SS|0A|-|Y|
0000001383|1.0|PEACOCK,ODELL E|IUBLA|SS|0A|-|Y|
0000001385|1.0|NAVARRETTE,HALEY J|IUBLA|SS|0D|-|Y|
0000001387|1.0|WELBORN,DEANNA Y|IUBLA|SS|0D|-|Y|
0000001388|1.0|SPRINGS,TODD W|IUBLA|AC1|AAM|PR|Y|
0000001390|1.0|LONGORIA,STACEY N|IUBLA|SS|0A|-|Y|
0000001392|1.0|BECKHAM,WALDO Y|IUBLA|AC1|AAM|PR|Y|
0000001393|1.0|WINN,MARGO O|IUBLA|AC1|AAM|PR|Y|
0000001394|1.0|STOOPS,JARROD D|IUBLA|SS|0A|-|Y|
0000001396|1.0|TURNBOW,SYLVIA G|IUBLA|AC1|AAM|PR|Y|
0000001397|1.0|CLOUD,BEVERLY D|IUBLA|AC1|AAM|PR|Y|
0000001398|1.0|BROWNE,REYES J|IUBLA|SS|0D|-|Y|
0000001400|1.0|BARAN,CATHERINE G|IUBLA|AC1|AAM|PR|Y|
0000001406|1.0|ELGIN,RICK Z|IUBLA|AC1|AAM|PR|Y|
0000001410|1.0|BOUTON,ROBIN Y|IUBLA|AC1|AAM|PR|Y|
0000001414|1.0|STRACHAN,PABLO K|IUBLA|AC1|AAM|PR|Y|
0000001417|1.0|FRAGA,DEVIN T|IUBLA|SS|0A|-|Y|
0000001418|1.0|DELK,BETH V|IUBLA|AC1|AAM|PR|Y|
0000001421|1.0|HAWES,LULA Z|IUBLA|SS|0D|-|Y|
0000001427|1.0|ZHANG,ALTON Z|IUBLA|AC1|AAM|PR|Y|
0000001431|1.0|ASHBY,LUCY K|IUBLA|AC1|AAM|PR|Y|
0000001441|1.0|PERSONS,ALLISON E|IUBLA|AC1|AAM|PR|Y|
0000001443|1.0|HUYNH,TIMMY G|IUBLA|AC1|AAM|PR|Y|
0000001444|1.0|ROCKWELL,KAREN K|IUBLA|AC1|AAM|PR|Y|
0000001445|1.0|WILFORD,TRINA S|IUBLA|AC1|AAM|PR|Y|
0000001447|1.0|YOAKUM,JAYNE V|IUBLA|AC1|AAM|PR|Y|
0000001448|1.0|VOLLMER,HOWARD U|IUBLA|AC1|AAM|PR|Y|
0000001453|1.0|CRISS,LORENE P|IUBLA|AC1|AAM|PR|Y|
0000001457|1.0|BATTEN,TERRELL O|IUBLA|AC1|AAM|PR|Y|
0000001458|1.0|SESSIONS,DEAN Y|IUBLA|AC1|AAM|PR|Y|
0000001462|1.0|HULBERT,EUGENIO S|IUBLA|AC1|AAM|PR|Y|
0000001467|1.0|PEPPERS,DERRICK M|IUBLA|AC1|AAM|PR|Y|
0000001471|1.0|NOWELL,MAE H|IUBLA|AC1|AAM|PR|Y|
0000001478|1.0|KITTRELL,NELLIE D|IUBLA|AC1|AAM|PR|Y|
0000001481|1.0|SMALL,KARLA S|IUBLA|AC1|AAM|PR|Y|
0000001482|1.0|CLARKE,ESTELLE D|IUBLA|AC1|AAM|PR|Y|
0000001483|1.0|DELAGARZA,LETA O|IUBLA|SS|0A|-|Y|
0000001484|1.0|WILLIAM,GRETA H|IUBLA|AC1|AAM|PR|Y|
0000001485|1.0|SORRELL,WENDELL Z|IUBLA|AC1|AAM|PR|Y|
0000001486|1.0|KOONS,LYMAN B|IUBLA|AC1|AAM|PR|Y|
0000001487|1.0|LUNDBERG,DOROTHEA S|IUBLA|SS|0D|-|Y|
