univ_fiscal_yr|a21_lbr_rpt_typ_cd|erncd|paygroup|obj_id|ver_nbr|row_actv_ind|
2010.0|BI|RGP|HRP|C1845EFB-7DB7-855F-2E7E-A8EE2455D772|2.0|Y|
2010.0|BI|RGW|HRW|EF714808-FE36-4D1B-225E-24C4C9747239|2.0|Y|
2010.0|BI|RMO|SMO|3F917CC1-96DF-AA6D-ED90-57E6FF6A3465|2.0|Y|
2011.0|10|REG|S10|E3237F7F-74EF-9231-D864-2D4C275A0D18|2.0|Y|
2011.0|10|RGA|A10|5C635B4F-FB9C-73AE-1BF5-E4227F5CAB0B|2.0|Y|
2011.0|10|RGS|AS0|1915168E-D067-CF1D-BB47-CE9E258F667D|2.0|Y|
2011.0|12|REG|S12|6A16BB91-AFF5-41DD-A27A-32FFF53C0E83|2.0|Y|
2011.0|12|RGA|A12|73BE57B0-D7BD-7842-DEFA-6694B9F6E246|2.0|Y|
2011.0|12|RGR|RES|92F2B1D2-9AB5-74D7-55C9-79D358EFFB93|2.0|Y|
2011.0|12|RGS|AS2|84311664-B675-5388-2A50-3187746C5E71|2.0|Y|
2011.0|BI|OCC|HRX|02DA2283-46B6-CC63-52DE-F02BBD76E284|2.0|Y|
2011.0|BI|RAO|AOE|F6CC6363-33E6-EE98-A8BA-3DE28CF70283|2.0|Y|
2011.0|BI|RGA|SUM|DAE5BE3A-C80F-8456-8921-1A55934923DB|2.0|Y|
2011.0|BI|RGH|HRA|53D916D8-83AC-D3D0-FCBE-94D1681DE4DA|2.0|Y|
2011.0|BI|RGH|HRR|D31B26EE-1F15-E9D4-5DF7-2D7C86104E63|2.0|Y|
2011.0|BI|RGN|BW1|8C2F7699-3CC9-44D6-6676-700A407A121D|2.0|Y|
2011.0|BI|RGP|HRP|E2703649-9378-F2F6-C757-841EDC779E9F|2.0|Y|
2011.0|BI|RGW|HRW|1F107297-F96A-3CCD-0179-43F5E44FED15|2.0|Y|
2011.0|BI|RMO|SMO|CD881F0B-CCB6-E184-C27C-4710E83330D1|2.0|Y|
2012.0|10|REG|S10|3669DA7D-0616-0E92-2789-57FCC5EFDDC0|2.0|Y|
2012.0|10|RGA|A10|8FD505C9-9983-BBD6-6A03-66F2C9B8D3B6|2.0|Y|
2012.0|10|RGS|AS0|9B08F4FE-AA8A-B4AF-E8EC-B2B8E1D14BBA|2.0|Y|
2012.0|12|REG|S12|6A65098C-9052-B743-4D41-9ECEE5C10CB1|2.0|Y|
2012.0|12|RGA|A12|7BE4585E-1395-0F50-138E-5444DD7DA46A|2.0|Y|
2012.0|12|RGR|RES|B484C001-CF23-557C-F6FA-E193DAAE4671|2.0|Y|
2012.0|12|RGS|AS2|A90B268A-781B-DB11-C37B-36DD9C568054|2.0|Y|
2012.0|BI|OCC|HRX|9867F194-6E2F-DB03-9CE2-F507958391D4|2.0|Y|
2012.0|BI|RAO|AOE|54E3F98A-DF2F-411C-A0B5-BB31CC8B65C6|2.0|Y|
2012.0|BI|RGA|SUM|A75A036A-BBE7-9183-F894-0AE165B668A3|2.0|Y|
2012.0|BI|RGH|HRA|4B4939A8-E399-4C98-A0EE-A64EB9A961F2|2.0|Y|
2012.0|BI|RGH|HRR|831D2090-26B0-E92B-5A53-48394A0BC5C5|2.0|Y|
2012.0|BI|RGN|BW1|77FA87B5-D627-D7BB-CF79-99FCE4B4AEA2|2.0|Y|
2012.0|BI|RGP|HRP|9F0BA97B-8175-FCDF-E7F0-31D70C045986|2.0|Y|
2012.0|BI|RGW|HRW|F3BC45D0-38AE-6D55-5FFD-3B17DD04B934|2.0|Y|
2012.0|BI|RMO|SMO|A05A077E-3AEB-A411-EFE9-2A4D11CA1475|2.0|Y|
2013.0|10|REG|S10|c568e3e7-e932-4bb9-971f-4f7759df0e8b|2.0|Y|
2013.0|10|RGA|A10|d6e40cc3-37e9-4351-9d3e-0a0831b0364b|2.0|Y|
2013.0|10|RGS|AS0|d557f284-15a1-44ae-9d07-ec0c03546efc|2.0|Y|
2013.0|12|REG|S12|7f0a771d-0be5-40c5-9a10-5331c006c0a7|2.0|Y|
2013.0|12|RGA|A12|3074ef33-a733-4250-a673-fe6d50b3b1de|2.0|Y|
2013.0|12|RGR|RES|c5d290a7-cfb3-4dcf-9f16-8062c5833dd1|2.0|Y|
2013.0|12|RGS|AS2|50d394da-1185-420a-86aa-833eee6e737d|2.0|Y|
2013.0|BI|OCC|HRX|80c3b1b0-e828-4ee4-90cc-af208911cb12|2.0|Y|
2013.0|BI|RAO|AOE|3256b1d5-5699-49b3-b788-a428f5563eff|2.0|Y|
2013.0|BI|RGA|SUM|da7de7de-aa02-442a-afac-b387a27c17e5|2.0|Y|
2013.0|BI|RGH|HRA|6ad4b084-2386-4e61-b43a-e6dc7b7d66d1|2.0|Y|
2013.0|BI|RGH|HRR|ecbd1917-655c-4baf-90b0-9b72111ed5e1|2.0|Y|
2013.0|BI|RGN|BW1|8eac3196-5d2b-4561-b3ab-1a121c0f478e|2.0|Y|
2013.0|BI|RGP|HRP|8d90e548-21d3-4661-b5cf-c4ca35dd00e9|2.0|Y|
2013.0|BI|RGW|HRW|3dfa07ec-c470-4bd6-ac66-5b5ef2fbdbc3|2.0|Y|
2013.0|BI|RMO|SMO|3c8b4745-52e6-43d9-8d1e-46c736690305|2.0|Y|
2014.0|10|REG|S10|b4138eba-c6b4-424a-9428-f7ea5e58638a|2.0|Y|
2014.0|10|RGA|A10|ef9354b6-bd2e-48ad-b645-1a34ad24255a|2.0|Y|
2014.0|10|RGS|AS0|b465ca0b-4e7b-4b64-bb79-bf4ac27841a0|2.0|Y|
2014.0|12|REG|S12|8f8cda2e-9f22-49ac-8c7e-5fdde8f2184c|2.0|Y|
2014.0|12|RGA|A12|108d9695-7272-4abc-ac98-9557db87ecf1|2.0|Y|
2014.0|12|RGR|RES|60fc974c-31bb-4a79-925a-78b7f02c28c7|2.0|Y|
2014.0|12|RGS|AS2|ca0e91a0-1057-46c2-a369-3e6a1bd24ecb|2.0|Y|
2014.0|BI|OCC|HRX|93b08edf-7d56-4e52-92ca-8cfc33f73470|2.0|Y|
2014.0|BI|RAO|AOE|489fb350-0ce5-468b-8943-054f7803c6a5|2.0|Y|
2014.0|BI|RGA|SUM|e62a939f-9f82-4820-8a14-c48a3dd3b065|2.0|Y|
2014.0|BI|RGH|HRA|b6d350df-c642-45b7-804b-bf1015a1b897|2.0|Y|
2014.0|BI|RGH|HRR|32f4b1da-c2ba-486f-9d07-76489968dc17|2.0|Y|
2014.0|BI|RGN|BW1|c9edc340-41f1-4ec2-a23e-bd46057d50b2|2.0|Y|
2014.0|BI|RGP|HRP|faab638f-4c12-48b2-acf9-43f7fdf2bf1d|2.0|Y|
2014.0|BI|RGW|HRW|6676a5ab-908f-4759-9e35-15c39b059bb8|2.0|Y|
2014.0|BI|RMO|SMO|0d79352b-f6b8-4557-be8d-08ddc3af9b49|2.0|Y|
