entity_email_id|obj_id|ver_nbr|entity_id|ent_typ_cd|email_typ_cd|email_addr|dflt_ind|actv_ind|last_updt_dt|
KFS1141|KFS-TEM-KRIM-EMAIL-0002|1.0|KFS3125|PERSON|WRK|rshrader@kuali.org|Y|Y|20121207233002|
KFS1142|KFS-TEM-KRIM-EMAIL-0003|1.0|KFS3981|PERSON|WRK|fcarley@kuali.org|Y|Y|20121207233002|
KFS1143|KFS-TEM-KRIM-EMAIL-0004|1.0|KFS1231|PERSON|WRK|marchant@kuali.org|Y|Y|20121207233002|
KFS1144|KFS-TEM-KRIM-EMAIL-0005|1.0|KFS3722|PERSON|WRK|locarrin@kuali.org|Y|Y|20121207233002|
KFS1145|KFS-TEM-KRIM-EMAIL-0006|1.0|KFS2863|PERSON|WRK|cmounts@kuali.org|Y|Y|20121207233002|
KFS1146|KFS-TEM-KRIM-EMAIL-0007|1.0|KFS2773|PERSON|WRK|mcbee@kuali.org|Y|Y|20121207233002|
KFS1147|KFS-TEM-KRIM-EMAIL-0008|1.0|KFS3631|PERSON|WRK|bbruner@kuali.org|Y|Y|20121207233002|
KFS1148|KFS-TEM-KRIM-EMAIL-0009|1.0|KFS2952|PERSON|WRK|anock@kuali.org|Y|Y|20121207233002|
KFS1149|KFS-TEM-KRIM-EMAIL-0010|1.0|KFS2938|PERSON|WRK|joholter@kuali.org|Y|Y|20121207233002|
KFS1150|KFS-TEM-KRIM-EMAIL-0011|1.0|KFS2913|PERSON|WRK|jojude@kuali.org|Y|Y|20121207233002|
KFS1151|KFS-TEM-KRIM-EMAIL-0012|1.0|KFS3299|PERSON|WRK|bomiddle@kuali.org|Y|Y|20121207233002|
KFS1152|KFS-TEM-KRIM-EMAIL-0013|1.0|KFS2880|PERSON|WRK|davila@kuali.org|Y|Y|20121207233002|
KFS1153|KFS-TEM-KRIM-EMAIL-0014|1.0|KFS3823|PERSON|WRK|jotingle@kuali.org|Y|Y|20121207233002|
KFS1154|KFS-TEM-KRIM-EMAIL-0015|1.0|KFS3309|PERSON|WRK|klechner@kuali.org|Y|Y|20121207233002|
KFS1155|KFS-TEM-KRIM-EMAIL-0016|1.0|KFS3391|PERSON|WRK|abays@kuali.org|Y|Y|20121207233002|
KFS1156|KFS-TEM-KRIM-EMAIL-0017|1.0|KFS3939|PERSON|WRK|cpgariba@kuali.org|Y|Y|20121207233002|
KFS1157|KFS-TEM-KRIM-EMAIL-0018|1.0|KFS3525|PERSON|WRK|hglover@kuali.org|Y|Y|20121207233002|
KFS1158|KFS-TEM-KRIM-EMAIL-0019|1.0|KFS3867|PERSON|WRK|ochaisso@kuali.org|Y|Y|20121207233002|
KFS1159|KFS-TEM-KRIM-EMAIL-0020|1.0|KFS3809|PERSON|WRK|jgerhart@kuali.org|Y|Y|20121207233002|
KFS1160|KFS-TEM-KRIM-EMAIL-0021|1.0|KFS3866|PERSON|WRK|dpshuck@kuali.org|Y|Y|20121207233002|
KFS1161|KFS-TEM-KRIM-EMAIL-0022|1.0|KFS3216|PERSON|WRK|gpbilly@kuali.org|Y|Y|20121207233002|
KFS1162|KFS-TEM-KRIM-EMAIL-0023|1.0|KFS3970|PERSON|WRK|hho@kuali.org|Y|Y|20121207233002|
KFS1163|KFS-TEM-KRIM-EMAIL-0024|1.0|KFS1309|PERSON|WRK|jppankey@kuali.org|Y|Y|20121207233002|
KFS1164|KFS-TEM-KRIM-EMAIL-0025|1.0|KFS3586|PERSON|WRK|dmackenz@kuali.org|Y|Y|20121207233002|
KFS1165|KFS-TEM-KRIM-EMAIL-0026|1.0|KFS2918|PERSON|WRK|gpfabriz@kuali.org|Y|Y|20121207233002|
KFS1166|KFS-TEM-KRIM-EMAIL-0027|1.0|KFS3055|PERSON|WRK|npsolis@kuali.org|Y|Y|20121207233002|
KFS1167|KFS-TEM-KRIM-EMAIL-0028|1.0|KFS3674|PERSON|WRK|jphanks@kuali.org|Y|Y|20121207233002|
KFS1168|KFS-TEM-KRIM-EMAIL-0029|1.0|KFS3973|PERSON|WRK|dpteague@kuali.org|Y|Y|20121207233002|
KFS1169|KFS-TEM-KRIM-EMAIL-0030|1.0|KFS2906|PERSON|WRK|wcorbitt@kuali.org|Y|Y|20121207233002|
KFS1170|KFS-TEM-KRIM-EMAIL-0031|1.0|KFS3758|PERSON|WRK|bptrudea@kuali.org|Y|Y|20121207233002|
KFS1171|KFS-TEM-KRIM-EMAIL-0032|1.0|KFS3746|PERSON|WRK|aphafner@kuali.org|Y|Y|20121207233002|
KFS1172|KFS-TEM-KRIM-EMAIL-0033|1.0|KFS3121|PERSON|WRK|mparmer@kuali.org|Y|Y|20121207233002|
KFS1173|KFS-TEM-KRIM-EMAIL-0034|1.0|KFS3687|PERSON|WRK|asine@kuali.org|Y|Y|20121207233002|
KFS1174|KFS-TEM-KRIM-EMAIL-0035|1.0|KFS2552|PERSON|WRK|lander@kuali.org|Y|Y|20121207233002|
KFS1175|KFS-TEM-KRIM-EMAIL-0036|1.0|KFS2974|PERSON|WRK|sthorne@kuali.org|Y|Y|20121207233002|
KFS1176|KFS-TEM-KRIM-EMAIL-0037|1.0|KFS3662|PERSON|WRK|tdenman@kuali.org|Y|Y|20121207233002|
KFS1177|KFS-TEM-KRIM-EMAIL-0038|1.0|KFS3839|PERSON|WRK|bpashwor@kuali.org|Y|Y|20121207233002|
KFS1178|KFS-TEM-KRIM-EMAIL-0039|1.0|KFS2607|PERSON|WRK|gphom@kuali.org|Y|Y|20121207233002|
KFS1179|KFS-TEM-KRIM-EMAIL-0040|1.0|KFS3193|PERSON|WRK|dpwesson@kuali.org|Y|Y|20121207233002|
KFS1180|KFS-TEM-KRIM-EMAIL-0041|1.0|KFS3513|PERSON|WRK|fmayes@kuali.org|Y|Y|20121207233002|
KFS1181|KFS-TEM-KRIM-EMAIL-0042|1.0|KFS3128|PERSON|WRK|anavarre@kuali.org|Y|Y|20121207233002|
KFS1182|KFS-TEM-KRIM-EMAIL-0043|1.0|KFS1080|PERSON|WRK|yon@kuali.org|Y|Y|20121207233002|
KFS1183|KFS-TEM-KRIM-EMAIL-0044|1.0|KFS3126|PERSON|WRK|wakins@kuali.org|Y|Y|20121207233002|
KFS1184|KFS-TEM-KRIM-EMAIL-0045|1.0|KFS3946|PERSON|WRK|apgallah@kuali.org|Y|Y|20121207233002|
KFS1185|KFS-TEM-KRIM-EMAIL-0046|1.0|KFS3218|PERSON|WRK|mbrogan@kuali.org|Y|Y|20121207233002|
KFS1186|KFS-TEM-KRIM-EMAIL-0047|1.0|KFS2794|PERSON|WRK|burress@kuali.org|Y|Y|20121207233002|
KFS1187|KFS-TEM-KRIM-EMAIL-0048|1.0|KFS3455|PERSON|WRK|acochran@kuali.org|Y|Y|20121207233002|
KFS1188|KFS-TEM-KRIM-EMAIL-0049|1.0|KFS3091|PERSON|WRK|rpcoggin@kuali.org|Y|Y|20121207233002|
KFS1189|KFS-TEM-KRIM-EMAIL-0050|1.0|KFS3158|PERSON|WRK|cqquarle@kuali.org|Y|Y|20121207233002|
KFS1190|KFS-TEM-KRIM-EMAIL-0051|1.0|KFS2939|PERSON|WRK|mwainwri@kuali.org|Y|Y|20121207233002|
KFS1191|KFS-TEM-KRIM-EMAIL-0052|1.0|KFS3778|PERSON|WRK|rliston@kuali.org|Y|Y|20121207233002|
KFS1192|KFS-TEM-KRIM-EMAIL-0053|1.0|KFS3678|PERSON|WRK|plindema@kuali.org|Y|Y|20121207233002|
KFS1193|KFS-TEM-KRIM-EMAIL-0054|1.0|KFS3798|PERSON|WRK|psanmigu@kuali.org|Y|Y|20121207233002|
KFS1194|KFS-TEM-KRIM-EMAIL-0055|1.0|KFS3862|PERSON|WRK|dqperron@kuali.org|Y|Y|20121207233002|
KFS1195|KFS-TEM-KRIM-EMAIL-0056|1.0|KFS3587|PERSON|WRK|csexton@kuali.org|Y|Y|20121207233002|
KFS1196|KFS-TEM-KRIM-EMAIL-0057|1.0|KFS3908|PERSON|WRK|rqbarrin@kuali.org|Y|Y|20121207233002|
KFS1197|KFS-TEM-KRIM-EMAIL-0058|1.0|KFS3069|PERSON|WRK|awilk@kuali.org|Y|Y|20121207233002|
KFS1198|KFS-TEM-KRIM-EMAIL-0059|1.0|KFS2975|PERSON|WRK|jlowe@kuali.org|Y|Y|20121207233002|
KFS1199|KFS-TEM-KRIM-EMAIL-0060|1.0|KFS2953|PERSON|WRK|jbrockin@kuali.org|Y|Y|20121207233002|
KFS1200|KFS-TEM-KRIM-EMAIL-0061|1.0|KFS3163|PERSON|WRK|pgalvez@kuali.org|Y|Y|20121207233002|
KFS1201|KFS-TEM-KRIM-EMAIL-0062|1.0|KFS3739|PERSON|WRK|jqhepbur@kuali.org|Y|Y|20121207233002|
KFS1202|KFS-TEM-KRIM-EMAIL-0063|1.0|KFS1052|PERSON|WRK|ralston@kuali.org|Y|Y|20121207233002|
KFS1203|KFS-TEM-KRIM-EMAIL-0064|1.0|KFS2535|PERSON|WRK|pqstalna@kuali.org|Y|Y|20121207233002|
KFS1204|KFS-TEM-KRIM-EMAIL-0065|1.0|KFS3510|PERSON|WRK|cqlakin@kuali.org|Y|Y|20121207233002|
KFS1205|KFS-TEM-KRIM-EMAIL-0066|1.0|KFS1113|PERSON|WRK|jqsharp@kuali.org|Y|Y|20121207233002|
KFS1206|KFS-TEM-KRIM-EMAIL-0067|1.0|KFS3399|PERSON|WRK|dqsills@kuali.org|Y|Y|20121207233002|
KFS1207|KFS-TEM-KRIM-EMAIL-0068|1.0|KFS2648|PERSON|WRK|brock@kuali.org|Y|Y|20121207233002|
KFS1208|KFS-TEM-KRIM-EMAIL-0069|1.0|KFS2801|PERSON|WRK|jqlauer@kuali.org|Y|Y|20121207233002|
KFS1209|KFS-TEM-KRIM-EMAIL-0070|1.0|KFS2534|PERSON|WRK|rqwoolar@kuali.org|Y|Y|20121207233002|
KFS1210|KFS-TEM-KRIM-EMAIL-0071|1.0|KFS1520|PERSON|WRK|xrippy@kuali.org|Y|Y|20121207233002|
KFS1211|KFS-TEM-KRIM-EMAIL-0072|1.0|KFS2019|PERSON|WRK|koenig@kuali.org|Y|Y|20121207233002|
KFS1212|KFS-TEM-KRIM-EMAIL-0073|1.0|KFS3923|PERSON|WRK|mdavila@kuali.org|Y|Y|20121207233002|
KFS1213|KFS-TEM-KRIM-EMAIL-0074|1.0|KFS3691|PERSON|WRK|hqcolema@kuali.org|Y|Y|20121207233002|
KFS1214|KFS-TEM-KRIM-EMAIL-0075|1.0|KFS2284|PERSON|WRK|dahl@kuali.org|Y|Y|20121207233002|
KFS1215|KFS-TEM-KRIM-EMAIL-0076|1.0|KFS2891|PERSON|WRK|ymichael@kuali.org|Y|Y|20121207233002|
KFS1216|KFS-TEM-KRIM-EMAIL-0077|1.0|KFS3652|PERSON|WRK|mbremer@kuali.org|Y|Y|20121207233002|
KFS1217|KFS-TEM-KRIM-EMAIL-0078|1.0|KFS3931|PERSON|WRK|bplummer@kuali.org|Y|Y|20121207233002|
KFS1218|KFS-TEM-KRIM-EMAIL-0079|1.0|KFS3017|PERSON|WRK|adowdy@kuali.org|Y|Y|20121207233002|
KFS1219|KFS-TEM-KRIM-EMAIL-0080|1.0|KFS3666|PERSON|WRK|obays@kuali.org|Y|Y|20121207233002|
KFS1220|KFS-TEM-KRIM-EMAIL-0081|1.0|KFS3247|PERSON|WRK|rdegroot@kuali.org|Y|Y|20121207233002|
KFS1221|KFS-TEM-KRIM-EMAIL-0082|1.0|KFS3423|PERSON|WRK|arturpin@kuali.org|Y|Y|20121207233002|
KFS1222|KFS-TEM-KRIM-EMAIL-0083|1.0|KFS4046|PERSON|WRK|mrrutkow@kuali.org|Y|Y|20121207233002|
KFS1223|KFS-TEM-KRIM-EMAIL-0084|1.0|1136|PERSON|WRK|kuluser@kuali.org|Y|Y|20121207233002|
KFS1224|KFS-TEM-KRIM-EMAIL-0085|1.0|KFS1001|PERSON|WRK|houlihan@kuali.org|Y|Y|20121207233002|
KFS1225|KFS-TEM-KRIM-EMAIL-0086|1.0|KFS4017|PERSON|WRK|lhwild@kuali.org|Y|Y|20121207233002|
KFS1226|KFS-TEM-KRIM-EMAIL-0087|1.0|KFS3698|PERSON|WRK|dheagle@kuali.org|Y|Y|20121207233002|
KFS1227|KFS-TEM-KRIM-EMAIL-0088|1.0|KFS3681|PERSON|WRK|eharmend@kuali.org|Y|Y|20121207233002|
KFS1228|KFS-TEM-KRIM-EMAIL-0089|1.0|KFS3248|PERSON|WRK|sexton@kuali.org|Y|Y|20121207233002|
KFS1229|KFS-TEM-KRIM-EMAIL-0090|1.0|KFS3194|PERSON|WRK|hhbolden@kuali.org|Y|Y|20121207233002|
KFS1230|KFS-TEM-KRIM-EMAIL-0091|1.0|KFS3080|PERSON|WRK|lraab@kuali.org|Y|Y|20121207233002|
KFS1231|KFS-TEM-KRIM-EMAIL-0092|1.0|KFS3349|PERSON|WRK|awalston@kuali.org|Y|Y|20121207233002|
KFS1232|KFS-TEM-KRIM-EMAIL-0093|1.0|KFS3304|PERSON|WRK|bcoffee@kuali.org|Y|Y|20121207233002|
KFS1233|KFS-TEM-KRIM-EMAIL-0094|1.0|KFS1016|PERSON|WRK|khcrabtr@kuali.org|Y|Y|20121207233002|
KFS1234|KFS-TEM-KRIM-EMAIL-0095|1.0|KFS3067|PERSON|WRK|mhkozlow@kuali.org|Y|Y|20121207233002|
KFS1235|KFS-TEM-KRIM-EMAIL-0096|1.0|KFS3447|PERSON|WRK|dhhicker@kuali.org|Y|Y|20121207233002|
KFS1236|KFS-TEM-KRIM-EMAIL-0097|1.0|KFS3996|PERSON|WRK|mhhiller@kuali.org|Y|Y|20121207233002|
KFS1237|KFS-TEM-KRIM-EMAIL-0098|1.0|KFS3547|PERSON|WRK|ehsheare@kuali.org|Y|Y|20121207233002|
KFS1238|KFS-TEM-KRIM-EMAIL-0099|1.0|KFS3256|PERSON|WRK|bsuzuki@kuali.org|Y|Y|20121207233002|
KFS1239|KFS-TEM-KRIM-EMAIL-0100|1.0|KFS3129|PERSON|WRK|cswinson@kuali.org|Y|Y|20121207233002|
KFS1240|KFS-TEM-KRIM-EMAIL-0101|1.0|KFS3048|PERSON|WRK|voglesby@kuali.org|Y|Y|20121207233002|
KFS1241|KFS-TEM-KRIM-EMAIL-0102|1.0|KFS2865|PERSON|WRK|renshaw@kuali.org|Y|Y|20121207233002|
KFS1242|KFS-TEM-KRIM-EMAIL-0103|1.0|KFS3463|PERSON|WRK|ahdurden@kuali.org|Y|Y|20121207233002|
KFS1243|KFS-TEM-KRIM-EMAIL-0104|1.0|KFS3630|PERSON|WRK|rhharbin@kuali.org|Y|Y|20121207233002|
KFS1244|KFS-TEM-KRIM-EMAIL-0105|1.0|KFS3315|PERSON|WRK|rhfoltz@kuali.org|Y|Y|20121207233002|
KFS1245|KFS-TEM-KRIM-EMAIL-0106|1.0|KFS2923|PERSON|WRK|sowings@kuali.org|Y|Y|20121207233002|
KFS1246|KFS-TEM-KRIM-EMAIL-0107|1.0|KFS3680|PERSON|WRK|jpelleri@kuali.org|Y|Y|20121207233002|
KFS1247|KFS-TEM-KRIM-EMAIL-0108|1.0|KFS3066|PERSON|WRK|pforest@kuali.org|Y|Y|20121207233002|
KFS1248|KFS-TEM-KRIM-EMAIL-0109|1.0|KFS3438|PERSON|WRK|thhiggs@kuali.org|Y|Y|20121207233002|
KFS1249|KFS-TEM-KRIM-EMAIL-0110|1.0|KFS3397|PERSON|WRK|dhfranks@kuali.org|Y|Y|20121207233002|
KFS1250|KFS-TEM-KRIM-EMAIL-0111|1.0|KFS1115|PERSON|WRK|mcdavid@kuali.org|Y|Y|20121207233002|
KFS1251|KFS-TEM-KRIM-EMAIL-0112|1.0|KFS3233|PERSON|WRK|efiscus@kuali.org|Y|Y|20121207233002|
KFS1252|KFS-TEM-KRIM-EMAIL-0113|1.0|KFS3346|PERSON|WRK|eispille@kuali.org|Y|Y|20121207233002|
KFS1253|KFS-TEM-KRIM-EMAIL-0114|1.0|KFS3287|PERSON|WRK|wraines@kuali.org|Y|Y|20121207233002|
KFS1254|KFS-TEM-KRIM-EMAIL-0115|1.0|KFS2825|PERSON|WRK|moser@kuali.org|Y|Y|20121207233002|
KFS1255|KFS-TEM-KRIM-EMAIL-0116|1.0|KFS2996|PERSON|WRK|gokeefe@kuali.org|Y|Y|20121207233002|
KFS1256|KFS-TEM-KRIM-EMAIL-0117|1.0|KFS3407|PERSON|WRK|cischaef@kuali.org|Y|Y|20121207233002|
KFS1257|KFS-TEM-KRIM-EMAIL-0118|1.0|KFS3688|PERSON|WRK|lileath@kuali.org|Y|Y|20121207233002|
KFS1258|KFS-TEM-KRIM-EMAIL-0119|1.0|KFS2898|PERSON|WRK|tsaavedr@kuali.org|Y|Y|20121207233002|
KFS1259|KFS-TEM-KRIM-EMAIL-0120|1.0|KFS3967|PERSON|WRK|eireynos@kuali.org|Y|Y|20121207233002|
KFS1260|KFS-TEM-KRIM-EMAIL-0121|1.0|KFS3884|PERSON|WRK|aichow@kuali.org|Y|Y|20121207233002|
KFS1261|KFS-TEM-KRIM-EMAIL-0122|1.0|KFS3343|PERSON|WRK|rlanda@kuali.org|Y|Y|20121207233002|
KFS1262|KFS-TEM-KRIM-EMAIL-0123|1.0|KFS3558|PERSON|WRK|clamp@kuali.org|Y|Y|20121207233002|
KFS1263|KFS-TEM-KRIM-EMAIL-0124|1.0|KFS2946|PERSON|WRK|bmodica@kuali.org|Y|Y|20121207233002|
KFS1264|KFS-TEM-KRIM-EMAIL-0125|1.0|KFS2492|PERSON|WRK|eilawton@kuali.org|Y|Y|20121207233002|
KFS1265|KFS-TEM-KRIM-EMAIL-0126|1.0|KFS3031|PERSON|WRK|tination@kuali.org|Y|Y|20121207233002|
KFS1266|KFS-TEM-KRIM-EMAIL-0127|1.0|KFS3781|PERSON|WRK|risaucie@kuali.org|Y|Y|20121207233002|
KFS1267|KFS-TEM-KRIM-EMAIL-0128|1.0|KFS3477|PERSON|WRK|bfederic@kuali.org|Y|Y|20121207233002|
KFS1268|KFS-TEM-KRIM-EMAIL-0129|1.0|KFS3470|PERSON|WRK|mwines@kuali.org|Y|Y|20121207233002|
KFS1269|KFS-TEM-KRIM-EMAIL-0130|1.0|KFS3831|PERSON|WRK|awestcot@kuali.org|Y|Y|20121207233002|
KFS1270|KFS-TEM-KRIM-EMAIL-0131|1.0|KFS1036|PERSON|WRK|brunelle@kuali.org|Y|Y|20121207233002|
KFS1271|KFS-TEM-KRIM-EMAIL-0132|1.0|KFS2908|PERSON|WRK|divarela@kuali.org|Y|Y|20121207233002|
KFS1272|KFS-TEM-KRIM-EMAIL-0133|1.0|KFS3864|PERSON|WRK|tithurmo@kuali.org|Y|Y|20121207233002|
KFS1273|KFS-TEM-KRIM-EMAIL-0134|1.0|KFS3082|PERSON|WRK|mbillups@kuali.org|Y|Y|20121207233002|
KFS1274|KFS-TEM-KRIM-EMAIL-0135|1.0|KFS2954|PERSON|WRK|rstiltne@kuali.org|Y|Y|20121207233002|
KFS1275|KFS-TEM-KRIM-EMAIL-0136|1.0|KFS1744|PERSON|WRK|qmarin@kuali.org|Y|Y|20121207233002|
KFS1276|KFS-TEM-KRIM-EMAIL-0137|1.0|KFS3833|PERSON|WRK|sjgott@kuali.org|Y|Y|20121207233002|
KFS1277|KFS-TEM-KRIM-EMAIL-0138|1.0|KFS3350|PERSON|WRK|bkrouse@kuali.org|Y|Y|20121207233002|
KFS1278|KFS-TEM-KRIM-EMAIL-0139|1.0|KFS3459|PERSON|WRK|hlackey@kuali.org|Y|Y|20121207233002|
KFS1279|KFS-TEM-KRIM-EMAIL-0140|1.0|KFS4026|PERSON|WRK|rjweiss@kuali.org|Y|Y|20121207233002|
KFS1280|KFS-TEM-KRIM-EMAIL-0141|1.0|KFS3130|PERSON|WRK|jquacken@kuali.org|Y|Y|20121207233002|
KFS1281|KFS-TEM-KRIM-EMAIL-0142|1.0|KFS1601|PERSON|WRK|ajpedigo@kuali.org|Y|Y|20121207233002|
KFS1282|KFS-TEM-KRIM-EMAIL-0143|1.0|KFS3835|PERSON|WRK|jjojeda@kuali.org|Y|Y|20121207233002|
KFS1283|KFS-TEM-KRIM-EMAIL-0144|1.0|KFS3077|PERSON|WRK|dkean@kuali.org|Y|Y|20121207233002|
KFS1284|KFS-TEM-KRIM-EMAIL-0145|1.0|KFS3143|PERSON|WRK|sjvillag@kuali.org|Y|Y|20121207233002|
KFS1285|KFS-TEM-KRIM-EMAIL-0146|1.0|KFS3484|PERSON|WRK|ljgarry@kuali.org|Y|Y|20121207233002|
KFS1286|KFS-TEM-KRIM-EMAIL-0147|1.0|KFS2874|PERSON|WRK|econwell@kuali.org|Y|Y|20121207233002|
KFS1287|KFS-TEM-KRIM-EMAIL-0148|1.0|KFS3285|PERSON|WRK|csipes@kuali.org|Y|Y|20121207233002|
KFS1288|KFS-TEM-KRIM-EMAIL-0149|1.0|KFS3912|PERSON|WRK|aeanes@kuali.org|Y|Y|20121207233002|
KFS1289|KFS-TEM-KRIM-EMAIL-0150|1.0|KFS3818|PERSON|WRK|tbrito@kuali.org|Y|Y|20121207233002|
KFS1290|KFS-TEM-KRIM-EMAIL-0151|1.0|KFS2876|PERSON|WRK|jdweston@kuali.org|Y|Y|20121207233002|
KFS1291|KFS-TEM-KRIM-EMAIL-0152|1.0|KFS2937|PERSON|WRK|ikite@kuali.org|Y|Y|20121207233002|
KFS1292|KFS-TEM-KRIM-EMAIL-0153|1.0|KFS2829|PERSON|WRK|burwell@kuali.org|Y|Y|20121207233002|
KFS1293|KFS-TEM-KRIM-EMAIL-0154|1.0|KFS3714|PERSON|WRK|edlink@kuali.org|Y|Y|20121207233002|
KFS1294|KFS-TEM-KRIM-EMAIL-0155|1.0|KFS3239|PERSON|WRK|mlunn@kuali.org|Y|Y|20121207233002|
KFS1295|KFS-TEM-KRIM-EMAIL-0156|1.0|KFS3132|PERSON|WRK|bfey@kuali.org|Y|Y|20121207233002|
KFS1296|KFS-TEM-KRIM-EMAIL-0157|1.0|KFS3102|PERSON|WRK|cburnsid@kuali.org|Y|Y|20121207233002|
KFS1297|KFS-TEM-KRIM-EMAIL-0158|1.0|KFS3913|PERSON|WRK|jerowe@kuali.org|Y|Y|20121207233002|
KFS1298|KFS-TEM-KRIM-EMAIL-0159|1.0|KFS3388|PERSON|WRK|nwigfall@kuali.org|Y|Y|20121207233002|
