entity_ext_id_id|obj_id|ver_nbr|entity_id|ext_id_typ_cd|ext_id|last_updt_dt|
KFS4253|KFS4253|1.0|KFS1055|TAX|XBy8HbA0p2kc3lalnjPKpA==|20121207233014|
KFS4254|KFS4254|1.0|KFS1056|TAX|XBy8HbA0p2kc3lalnjPKpA==|20121207233014|
KFS4255|KFS4255|1.0|KFS1057|TAX|XBy8HbA0p2kc3lalnjPKpA==|20121207233014|
KFS4256|KFS4256|1.0|KFS1058|TAX|XBy8HbA0p2kc3lalnjPKpA==|20121207233014|
KFS4257|KFS4257|1.0|KFS1059|TAX|XBy8HbA0p2kc3lalnjPKpA==|20121207233014|
KFS4258|KFS4258|1.0|KFS1060|TAX|XBy8HbA0p2kc3lalnjPKpA==|20121207233014|
KFS4259|KFS4259|1.0|KFS1061|TAX|XBy8HbA0p2kc3lalnjPKpA==|20121207233014|
KFS4260|KFS4260|1.0|KFS1062|TAX|XBy8HbA0p2kc3lalnjPKpA==|20121207233014|
KFS4261|KFS4261|1.0|KFS1063|TAX|XBy8HbA0p2kc3lalnjPKpA==|20121207233014|
KFS4262|KFS4262|1.0|KFS1064|TAX|XBy8HbA0p2kc3lalnjPKpA==|20121207233014|
KFS4263|KFS4263|1.0|KFS1065|TAX|XBy8HbA0p2kc3lalnjPKpA==|20121207233014|
KFS4264|KFS4264|1.0|KFS1066|TAX|XBy8HbA0p2kc3lalnjPKpA==|20121207233014|
KFS4265|KFS4265|1.0|KFS1067|TAX|XBy8HbA0p2kc3lalnjPKpA==|20121207233014|
KFS4266|KFS4266|1.0|KFS1068|TAX|XBy8HbA0p2kc3lalnjPKpA==|20121207233014|
KFS4267|KFS4267|1.0|KFS1069|TAX|XBy8HbA0p2kc3lalnjPKpA==|20121207233014|
KFS4268|KFS4268|1.0|KFS1070|TAX|XBy8HbA0p2kc3lalnjPKpA==|20121207233014|
KFS4269|KFS4269|1.0|KFS1071|TAX|XBy8HbA0p2kc3lalnjPKpA==|20121207233014|
KFS4270|KFS4270|1.0|KFS1072|TAX|XBy8HbA0p2kc3lalnjPKpA==|20121207233014|
KFS4271|KFS4271|1.0|KFS1073|TAX|XBy8HbA0p2kc3lalnjPKpA==|20121207233014|
KFS4272|KFS4272|1.0|KFS1074|TAX|XBy8HbA0p2kc3lalnjPKpA==|20121207233014|
KFS4273|KFS4273|1.0|KFS1075|TAX|XBy8HbA0p2kc3lalnjPKpA==|20121207233014|
KFS4274|KFS4274|1.0|KFS1076|TAX|XBy8HbA0p2kc3lalnjPKpA==|20121207233014|
KFS4275|KFS4275|1.0|KFS1077|TAX|XBy8HbA0p2kc3lalnjPKpA==|20121207233014|
KFS4276|KFS4276|1.0|KFS1078|TAX|XBy8HbA0p2kc3lalnjPKpA==|20121207233014|
KFS4277|KFS4277|1.0|KFS1079|TAX|XBy8HbA0p2kc3lalnjPKpA==|20121207233014|
KFS4278|KFS4278|1.0|KFS1080|TAX|XBy8HbA0p2kc3lalnjPKpA==|20121207233014|
KFS4279|KFS4279|1.0|KFS1081|TAX|XBy8HbA0p2kc3lalnjPKpA==|20121207233014|
KFS4280|KFS4280|1.0|KFS1082|TAX|XBy8HbA0p2kc3lalnjPKpA==|20121207233014|
KFS4281|KFS4281|1.0|KFS1083|TAX|XBy8HbA0p2kc3lalnjPKpA==|20121207233014|
KFS4282|KFS4282|1.0|KFS1084|TAX|XBy8HbA0p2kc3lalnjPKpA==|20121207233014|
KFS4283|KFS4283|1.0|KFS1085|TAX|XBy8HbA0p2kc3lalnjPKpA==|20121207233014|
KFS4284|KFS4284|1.0|KFS1086|TAX|XBy8HbA0p2kc3lalnjPKpA==|20121207233014|
KFS4285|KFS4285|1.0|KFS1087|TAX|XBy8HbA0p2kc3lalnjPKpA==|20121207233014|
KFS4286|KFS4286|1.0|KFS1088|TAX|XBy8HbA0p2kc3lalnjPKpA==|20121207233014|
KFS4287|KFS4287|1.0|KFS1089|TAX|XBy8HbA0p2kc3lalnjPKpA==|20121207233014|
KFS4288|KFS4288|1.0|KFS1090|TAX|XBy8HbA0p2kc3lalnjPKpA==|20121207233014|
KFS4289|KFS4289|1.0|KFS1091|TAX|XBy8HbA0p2kc3lalnjPKpA==|20121207233014|
KFS4290|KFS4290|1.0|KFS1092|TAX|XBy8HbA0p2kc3lalnjPKpA==|20121207233014|
KFS4291|KFS4291|1.0|KFS1093|TAX|XBy8HbA0p2kc3lalnjPKpA==|20121207233014|
KFS4292|KFS4292|1.0|KFS1094|TAX|XBy8HbA0p2kc3lalnjPKpA==|20121207233014|
KFS4293|KFS4293|1.0|KFS1095|TAX|XBy8HbA0p2kc3lalnjPKpA==|20121207233014|
KFS4294|KFS4294|1.0|KFS1096|TAX|XBy8HbA0p2kc3lalnjPKpA==|20121207233014|
KFS4295|KFS4295|1.0|KFS1097|TAX|XBy8HbA0p2kc3lalnjPKpA==|20121207233014|
KFS4296|KFS4296|1.0|KFS1098|TAX|XBy8HbA0p2kc3lalnjPKpA==|20121207233014|
KFS4297|KFS4297|1.0|KFS1099|TAX|XBy8HbA0p2kc3lalnjPKpA==|20121207233014|
KFS4298|KFS4298|1.0|KFS1100|TAX|XBy8HbA0p2kc3lalnjPKpA==|20121207233014|
KFS4299|KFS4299|1.0|KFS1101|TAX|XBy8HbA0p2kc3lalnjPKpA==|20121207233014|
KFS4300|KFS4300|1.0|KFS1102|TAX|XBy8HbA0p2kc3lalnjPKpA==|20121207233014|
KFS4301|KFS4301|1.0|KFS1103|TAX|XBy8HbA0p2kc3lalnjPKpA==|20121207233014|
KFS4302|KFS4302|1.0|KFS1104|TAX|XBy8HbA0p2kc3lalnjPKpA==|20121207233014|
KFS4303|KFS4303|1.0|KFS1105|TAX|XBy8HbA0p2kc3lalnjPKpA==|20121207233014|
KFS4304|KFS4304|1.0|KFS1106|TAX|XBy8HbA0p2kc3lalnjPKpA==|20121207233014|
KFS4305|KFS4305|1.0|KFS1107|TAX|XBy8HbA0p2kc3lalnjPKpA==|20121207233014|
KFS4306|KFS4306|1.0|KFS1108|TAX|XBy8HbA0p2kc3lalnjPKpA==|20121207233014|
KFS4307|KFS4307|1.0|KFS1109|TAX|XBy8HbA0p2kc3lalnjPKpA==|20121207233014|
KFS4308|KFS4308|1.0|KFS1110|TAX|XBy8HbA0p2kc3lalnjPKpA==|20121207233014|
KFS4309|KFS4309|1.0|KFS1111|TAX|XBy8HbA0p2kc3lalnjPKpA==|20121207233014|
KFS4310|KFS4310|1.0|KFS1112|TAX|XBy8HbA0p2kc3lalnjPKpA==|20121207233014|
KFS4311|KFS4311|1.0|KFS1113|TAX|XBy8HbA0p2kc3lalnjPKpA==|20121207233014|
KFS4312|KFS4312|1.0|KFS1114|TAX|XBy8HbA0p2kc3lalnjPKpA==|20121207233014|
KFS4313|KFS4313|1.0|KFS1115|TAX|XBy8HbA0p2kc3lalnjPKpA==|20121207233015|
KFS4314|KFS4314|1.0|KFS1117|TAX|XBy8HbA0p2kc3lalnjPKpA==|20121207233015|
KFS4315|KFS4315|1.0|KFS1122|TAX|XBy8HbA0p2kc3lalnjPKpA==|20121207233015|
KFS4316|KFS4316|1.0|KFS1123|TAX|XBy8HbA0p2kc3lalnjPKpA==|20121207233015|
KFS4317|KFS4317|1.0|KFS1124|TAX|XBy8HbA0p2kc3lalnjPKpA==|20121207233015|
KFS4318|KFS4318|1.0|KFS1125|TAX|XBy8HbA0p2kc3lalnjPKpA==|20121207233015|
KFS4319|KFS4319|1.0|KFS1137|TAX|XBy8HbA0p2kc3lalnjPKpA==|20121207233015|
KFS4320|KFS4320|1.0|KFS1138|TAX|XBy8HbA0p2kc3lalnjPKpA==|20121207233015|
KFS4321|KFS4321|1.0|KFS1143|TAX|XBy8HbA0p2kc3lalnjPKpA==|20121207233015|
KFS4322|KFS4322|1.0|KFS1146|TAX|XBy8HbA0p2kc3lalnjPKpA==|20121207233015|
KFS4323|KFS4323|1.0|KFS1165|TAX|XBy8HbA0p2kc3lalnjPKpA==|20121207233015|
KFS4324|KFS4324|1.0|KFS1168|TAX|XBy8HbA0p2kc3lalnjPKpA==|20121207233015|
KFS4325|KFS4325|1.0|KFS1172|TAX|XBy8HbA0p2kc3lalnjPKpA==|20121207233015|
KFS4326|KFS4326|1.0|KFS1231|TAX|XBy8HbA0p2kc3lalnjPKpA==|20121207233015|
KFS4327|KFS4327|1.0|KFS1232|TAX|XBy8HbA0p2kc3lalnjPKpA==|20121207233015|
KFS4328|KFS4328|1.0|KFS1264|TAX|XBy8HbA0p2kc3lalnjPKpA==|20121207233015|
KFS4329|KFS4329|1.0|KFS1309|TAX|XBy8HbA0p2kc3lalnjPKpA==|20121207233015|
KFS4330|KFS4330|1.0|KFS1315|TAX|XBy8HbA0p2kc3lalnjPKpA==|20121207233015|
KFS4331|KFS4331|1.0|KFS1334|TAX|XBy8HbA0p2kc3lalnjPKpA==|20121207233015|
KFS4332|KFS4332|1.0|KFS1337|TAX|XBy8HbA0p2kc3lalnjPKpA==|20121207233015|
KFS4333|KFS4333|1.0|KFS1361|TAX|XBy8HbA0p2kc3lalnjPKpA==|20121207233015|
KFS4334|KFS4334|1.0|KFS1399|TAX|XBy8HbA0p2kc3lalnjPKpA==|20121207233015|
KFS4335|KFS4335|1.0|KFS1423|TAX|XBy8HbA0p2kc3lalnjPKpA==|20121207233015|
KFS4336|KFS4336|1.0|KFS1433|TAX|XBy8HbA0p2kc3lalnjPKpA==|20121207233015|
KFS4337|KFS4337|1.0|KFS1438|TAX|XBy8HbA0p2kc3lalnjPKpA==|20121207233015|
KFS4338|KFS4338|1.0|KFS1441|TAX|XBy8HbA0p2kc3lalnjPKpA==|20121207233015|
KFS4339|KFS4339|1.0|KFS1444|TAX|XBy8HbA0p2kc3lalnjPKpA==|20121207233015|
KFS4340|KFS4340|1.0|KFS1453|TAX|XBy8HbA0p2kc3lalnjPKpA==|20121207233015|
KFS4341|KFS4341|1.0|KFS1455|TAX|XBy8HbA0p2kc3lalnjPKpA==|20121207233015|
KFS4342|KFS4342|1.0|KFS1470|TAX|XBy8HbA0p2kc3lalnjPKpA==|20121207233015|
KFS4343|KFS4343|1.0|KFS1482|TAX|XBy8HbA0p2kc3lalnjPKpA==|20121207233015|
KFS4344|KFS4344|1.0|KFS1515|TAX|XBy8HbA0p2kc3lalnjPKpA==|20121207233015|
KFS4345|KFS4345|1.0|KFS1520|TAX|XBy8HbA0p2kc3lalnjPKpA==|20121207233015|
KFS4346|KFS4346|1.0|KFS1525|TAX|XBy8HbA0p2kc3lalnjPKpA==|20121207233015|
KFS4347|KFS4347|1.0|KFS1526|TAX|XBy8HbA0p2kc3lalnjPKpA==|20121207233015|
KFS4348|KFS4348|1.0|KFS1531|TAX|XBy8HbA0p2kc3lalnjPKpA==|20121207233015|
KFS4349|KFS4349|1.0|KFS1545|TAX|XBy8HbA0p2kc3lalnjPKpA==|20121207233015|
KFS4350|KFS4350|1.0|KFS1556|TAX|XBy8HbA0p2kc3lalnjPKpA==|20121207233015|
KFS4351|KFS4351|1.0|KFS1574|TAX|XBy8HbA0p2kc3lalnjPKpA==|20121207233015|
KFS4352|KFS4352|1.0|KFS1586|TAX|XBy8HbA0p2kc3lalnjPKpA==|20121207233015|
KFS4353|KFS4353|1.0|KFS1599|TAX|XBy8HbA0p2kc3lalnjPKpA==|20121207233015|
KFS4354|KFS4354|1.0|KFS1601|TAX|XBy8HbA0p2kc3lalnjPKpA==|20121207233015|
KFS4355|KFS4355|1.0|KFS1603|TAX|XBy8HbA0p2kc3lalnjPKpA==|20121207233015|
KFS4356|KFS4356|1.0|KFS1625|TAX|XBy8HbA0p2kc3lalnjPKpA==|20121207233015|
KFS4357|KFS4357|1.0|KFS1637|TAX|XBy8HbA0p2kc3lalnjPKpA==|20121207233015|
KFS4358|KFS4358|1.0|KFS1638|TAX|XBy8HbA0p2kc3lalnjPKpA==|20121207233015|
KFS4359|KFS4359|1.0|KFS1656|TAX|XBy8HbA0p2kc3lalnjPKpA==|20121207233015|
KFS4360|KFS4360|1.0|KFS1676|TAX|XBy8HbA0p2kc3lalnjPKpA==|20121207233015|
KFS4361|KFS4361|1.0|KFS1686|TAX|XBy8HbA0p2kc3lalnjPKpA==|20121207233015|
KFS4362|KFS4362|1.0|KFS1689|TAX|XBy8HbA0p2kc3lalnjPKpA==|20121207233015|
KFS4363|KFS4363|1.0|KFS1705|TAX|XBy8HbA0p2kc3lalnjPKpA==|20121207233015|
KFS4364|KFS4364|1.0|KFS1717|TAX|XBy8HbA0p2kc3lalnjPKpA==|20121207233015|
KFS4365|KFS4365|1.0|KFS1731|TAX|XBy8HbA0p2kc3lalnjPKpA==|20121207233015|
KFS4366|KFS4366|1.0|KFS1744|TAX|XBy8HbA0p2kc3lalnjPKpA==|20121207233015|
KFS4367|KFS4367|1.0|KFS1747|TAX|XBy8HbA0p2kc3lalnjPKpA==|20121207233015|
KFS4368|KFS4368|1.0|KFS1783|TAX|XBy8HbA0p2kc3lalnjPKpA==|20121207233015|
KFS4369|KFS4369|1.0|KFS1861|TAX|XBy8HbA0p2kc3lalnjPKpA==|20121207233015|
KFS4370|KFS4370|1.0|KFS1864|TAX|XBy8HbA0p2kc3lalnjPKpA==|20121207233015|
KFS4371|KFS4371|1.0|KFS1870|TAX|XBy8HbA0p2kc3lalnjPKpA==|20121207233015|
KFS4372|KFS4372|1.0|KFS1884|TAX|XBy8HbA0p2kc3lalnjPKpA==|20121207233015|
KFS4373|KFS4373|1.0|KFS2018|TAX|XBy8HbA0p2kc3lalnjPKpA==|20121207233015|
KFS4374|KFS4374|1.0|KFS2019|TAX|XBy8HbA0p2kc3lalnjPKpA==|20121207233015|
KFS4375|KFS4375|1.0|KFS2049|TAX|XBy8HbA0p2kc3lalnjPKpA==|20121207233015|
KFS4376|KFS4376|1.0|KFS2053|TAX|XBy8HbA0p2kc3lalnjPKpA==|20121207233015|
KFS4377|KFS4377|1.0|KFS2062|TAX|XBy8HbA0p2kc3lalnjPKpA==|20121207233015|
KFS4378|KFS4378|1.0|KFS2073|TAX|XBy8HbA0p2kc3lalnjPKpA==|20121207233015|
KFS4379|KFS4379|1.0|KFS2075|TAX|XBy8HbA0p2kc3lalnjPKpA==|20121207233015|
KFS4380|KFS4380|1.0|KFS2138|TAX|XBy8HbA0p2kc3lalnjPKpA==|20121207233015|
KFS4381|KFS4381|1.0|KFS2163|TAX|XBy8HbA0p2kc3lalnjPKpA==|20121207233015|
KFS4382|KFS4382|1.0|KFS2204|TAX|XBy8HbA0p2kc3lalnjPKpA==|20121207233015|
KFS4383|KFS4383|1.0|KFS2224|TAX|XBy8HbA0p2kc3lalnjPKpA==|20121207233015|
KFS4384|KFS4384|1.0|KFS2227|TAX|XBy8HbA0p2kc3lalnjPKpA==|20121207233015|
KFS4385|KFS4385|1.0|KFS2230|TAX|XBy8HbA0p2kc3lalnjPKpA==|20121207233015|
KFS4386|KFS4386|1.0|KFS2235|TAX|XBy8HbA0p2kc3lalnjPKpA==|20121207233015|
KFS4387|KFS4387|1.0|KFS2236|TAX|XBy8HbA0p2kc3lalnjPKpA==|20121207233015|
KFS4388|KFS4388|1.0|KFS2247|TAX|XBy8HbA0p2kc3lalnjPKpA==|20121207233015|
KFS4389|KFS4389|1.0|KFS2284|TAX|XBy8HbA0p2kc3lalnjPKpA==|20121207233015|
KFS4390|KFS4390|1.0|KFS2344|TAX|XBy8HbA0p2kc3lalnjPKpA==|20121207233015|
KFS4391|KFS4391|1.0|KFS2369|TAX|XBy8HbA0p2kc3lalnjPKpA==|20121207233015|
KFS4392|KFS4392|1.0|KFS2376|TAX|XBy8HbA0p2kc3lalnjPKpA==|20121207233015|
KFS4393|KFS4393|1.0|KFS2377|TAX|XBy8HbA0p2kc3lalnjPKpA==|20121207233015|
KFS4394|KFS4394|1.0|KFS2382|TAX|XBy8HbA0p2kc3lalnjPKpA==|20121207233015|
KFS4395|KFS4395|1.0|KFS2383|TAX|XBy8HbA0p2kc3lalnjPKpA==|20121207233015|
KFS4396|KFS4396|1.0|KFS2388|TAX|XBy8HbA0p2kc3lalnjPKpA==|20121207233015|
KFS4397|KFS4397|1.0|KFS2389|TAX|XBy8HbA0p2kc3lalnjPKpA==|20121207233015|
KFS4398|KFS4398|1.0|KFS2409|TAX|XBy8HbA0p2kc3lalnjPKpA==|20121207233015|
KFS4399|KFS4399|1.0|KFS2412|TAX|XBy8HbA0p2kc3lalnjPKpA==|20121207233015|
KFS4400|KFS4400|1.0|KFS2492|TAX|XBy8HbA0p2kc3lalnjPKpA==|20121207233015|
KFS4401|KFS4401|1.0|KFS2533|TAX|XBy8HbA0p2kc3lalnjPKpA==|20121207233015|
KFS4402|KFS4402|1.0|KFS2534|TAX|XBy8HbA0p2kc3lalnjPKpA==|20121207233015|
KFS4403|KFS4403|1.0|KFS2535|TAX|XBy8HbA0p2kc3lalnjPKpA==|20121207233015|
KFS4404|KFS4404|1.0|KFS2549|TAX|XBy8HbA0p2kc3lalnjPKpA==|20121207233015|
KFS4405|KFS4405|1.0|KFS2550|TAX|XBy8HbA0p2kc3lalnjPKpA==|20121207233015|
KFS4406|KFS4406|1.0|KFS2552|TAX|XBy8HbA0p2kc3lalnjPKpA==|20121207233015|
KFS4407|KFS4407|1.0|KFS2554|TAX|XBy8HbA0p2kc3lalnjPKpA==|20121207233015|
KFS4408|KFS4408|1.0|KFS2559|TAX|XBy8HbA0p2kc3lalnjPKpA==|20121207233015|
KFS4409|KFS4409|1.0|KFS2566|TAX|XBy8HbA0p2kc3lalnjPKpA==|20121207233015|
KFS4410|KFS4410|1.0|KFS2567|TAX|XBy8HbA0p2kc3lalnjPKpA==|20121207233015|
KFS4411|KFS4411|1.0|KFS2568|TAX|XBy8HbA0p2kc3lalnjPKpA==|20121207233015|
KFS4412|KFS4412|1.0|KFS2578|TAX|XBy8HbA0p2kc3lalnjPKpA==|20121207233015|
KFS4413|KFS4413|1.0|KFS2582|TAX|XBy8HbA0p2kc3lalnjPKpA==|20121207233015|
KFS4414|KFS4414|1.0|KFS2584|TAX|XBy8HbA0p2kc3lalnjPKpA==|20121207233015|
KFS4415|KFS4415|1.0|KFS2587|TAX|XBy8HbA0p2kc3lalnjPKpA==|20121207233015|
KFS4416|KFS4416|1.0|KFS2588|TAX|XBy8HbA0p2kc3lalnjPKpA==|20121207233015|
KFS4417|KFS4417|1.0|KFS2593|TAX|XBy8HbA0p2kc3lalnjPKpA==|20121207233015|
KFS4418|KFS4418|1.0|KFS2594|TAX|XBy8HbA0p2kc3lalnjPKpA==|20121207233015|
KFS4419|KFS4419|1.0|KFS2595|TAX|XBy8HbA0p2kc3lalnjPKpA==|20121207233015|
KFS4420|KFS4420|1.0|KFS2602|TAX|XBy8HbA0p2kc3lalnjPKpA==|20121207233015|
KFS4421|KFS4421|1.0|KFS2606|TAX|XBy8HbA0p2kc3lalnjPKpA==|20121207233015|
KFS4422|KFS4422|1.0|KFS2607|TAX|XBy8HbA0p2kc3lalnjPKpA==|20121207233015|
KFS4423|KFS4423|1.0|KFS2612|TAX|XBy8HbA0p2kc3lalnjPKpA==|20121207233015|
KFS4424|KFS4424|1.0|KFS2616|TAX|XBy8HbA0p2kc3lalnjPKpA==|20121207233015|
KFS4425|KFS4425|1.0|KFS2621|TAX|XBy8HbA0p2kc3lalnjPKpA==|20121207233015|
KFS4426|KFS4426|1.0|KFS2629|TAX|XBy8HbA0p2kc3lalnjPKpA==|20121207233015|
KFS4427|KFS4427|1.0|KFS2631|TAX|XBy8HbA0p2kc3lalnjPKpA==|20121207233015|
KFS4428|KFS4428|1.0|KFS2641|TAX|XBy8HbA0p2kc3lalnjPKpA==|20121207233015|
KFS4429|KFS4429|1.0|KFS2646|TAX|XBy8HbA0p2kc3lalnjPKpA==|20121207233015|
KFS4430|KFS4430|1.0|KFS2648|TAX|XBy8HbA0p2kc3lalnjPKpA==|20121207233015|
KFS4431|KFS4431|1.0|KFS2651|TAX|XBy8HbA0p2kc3lalnjPKpA==|20121207233015|
KFS4432|KFS4432|1.0|KFS2655|TAX|XBy8HbA0p2kc3lalnjPKpA==|20121207233015|
KFS4433|KFS4433|1.0|KFS2656|TAX|XBy8HbA0p2kc3lalnjPKpA==|20121207233015|
KFS4434|KFS4434|1.0|KFS2657|TAX|XBy8HbA0p2kc3lalnjPKpA==|20121207233015|
KFS4435|KFS4435|1.0|KFS2658|TAX|XBy8HbA0p2kc3lalnjPKpA==|20121207233015|
KFS4436|KFS4436|1.0|KFS2659|TAX|XBy8HbA0p2kc3lalnjPKpA==|20121207233015|
KFS4437|KFS4437|1.0|KFS2693|TAX|XBy8HbA0p2kc3lalnjPKpA==|20121207233015|
KFS4438|KFS4438|1.0|KFS2694|TAX|XBy8HbA0p2kc3lalnjPKpA==|20121207233015|
KFS4439|KFS4439|1.0|KFS2695|TAX|XBy8HbA0p2kc3lalnjPKpA==|20121207233015|
KFS4440|KFS4440|1.0|KFS2734|TAX|XBy8HbA0p2kc3lalnjPKpA==|20121207233015|
KFS4441|KFS4441|1.0|KFS2742|TAX|XBy8HbA0p2kc3lalnjPKpA==|20121207233015|
KFS4442|KFS4442|1.0|KFS2743|TAX|XBy8HbA0p2kc3lalnjPKpA==|20121207233015|
KFS4443|KFS4443|1.0|KFS2744|TAX|XBy8HbA0p2kc3lalnjPKpA==|20121207233015|
KFS4444|KFS4444|1.0|KFS2745|TAX|XBy8HbA0p2kc3lalnjPKpA==|20121207233015|
KFS4445|KFS4445|1.0|KFS2746|TAX|XBy8HbA0p2kc3lalnjPKpA==|20121207233015|
KFS4446|KFS4446|1.0|KFS2747|TAX|XBy8HbA0p2kc3lalnjPKpA==|20121207233015|
KFS4447|KFS4447|1.0|KFS2748|TAX|XBy8HbA0p2kc3lalnjPKpA==|20121207233015|
