entity_nm_id|obj_id|ver_nbr|entity_id|nm_typ_cd|first_nm|middle_nm|last_nm|suffix_nm|prefix_nm|dflt_ind|actv_ind|last_updt_dt|title_nm|note_msg|nm_chng_dt|
KFS1060|KFS1060|1.0|KFS1060|PRFR|TRACIE|M|HAVILAND|||Y|Y|20121207233017||||
KFS1061|KFS1061|1.0|KFS1061|PRFR|MELISSA|L|THEISS|||Y|Y|20121207233017||||
KFS1062|KFS1062|1.0|KFS1062|PRFR|SAMMIE|U|PICKARD|||Y|Y|20121207233017||||
KFS1063|KFS1063|1.0|KFS1063|PRFR|MERCEDES|D|BIRD|||Y|Y|20121207233017||||
KFS1064|KFS1064|1.0|KFS1064|PRFR|AVIS|B|DUNSON|||Y|Y|20121207233017||||
KFS1065|KFS1065|1.0|KFS1065|PRFR|AL|S|GRINDLE|||Y|Y|20121207233017||||
KFS1066|KFS1066|1.0|KFS1066|PRFR|LEONEL|X|BILLER|||Y|Y|20121207233017||||
KFS1067|KFS1067|1.0|KFS1067|PRFR|KELLI|A|NOLAND|||Y|Y|20121207233017||||
KFS1068|KFS1068|1.0|KFS1068|PRFR|JOE|G|DANIELSON|||Y|Y|20121207233017||||
KFS1069|KFS1069|1.0|KFS1069|PRFR|NEWTON|Y|FLESHER|||Y|Y|20121207233017||||
KFS1070|KFS1070|1.0|KFS1070|PRFR|VANESSA|X|YOON|||Y|Y|20121207233017||||
KFS1071|KFS1071|1.0|KFS1071|PRFR|MONICA|R|BUNNELL|||Y|Y|20121207233017||||
KFS1072|KFS1072|1.0|KFS1072|PRFR|MABEL|D|MICHELS|||Y|Y|20121207233017||||
KFS1073|KFS1073|1.0|KFS1073|PRFR|LAKISHA|T|DURBIN|||Y|Y|20121207233017||||
KFS1074|KFS1074|1.0|KFS1074|PRFR|BARRY|R|BLACKWOOD|||Y|Y|20121207233017||||
KFS1075|KFS1075|1.0|KFS1075|PRFR|SASHA|S|JACOBO|||Y|Y|20121207233017||||
KFS1076|KFS1076|1.0|KFS1076|PRFR|VONDA|W|BARTH|||Y|Y|20121207233017||||
KFS1077|KFS1077|1.0|KFS1077|PRFR|NOE|F|FANG|||Y|Y|20121207233017||||
KFS1078|KFS1078|1.0|KFS1078|PRFR|ALEXANDER|E|SHARMA|||Y|Y|20121207233017||||
KFS1079|KFS1079|1.0|KFS1079|PRFR|MILLARD|K|RODRIGUEZ|||Y|Y|20121207233017||||
KFS1080|KFS1080|1.0|KFS1080|PRFR|EUGENIO|P|YON|||Y|Y|20121207233017||||
KFS1081|KFS1081|1.0|KFS1081|PRFR|DEBORA|Y|EARLEY|||Y|Y|20121207233017||||
KFS1082|KFS1082|1.0|KFS1082|PRFR|ROBERT|M|ONEIL|||Y|Y|20121207233017||||
KFS1083|KFS1083|1.0|KFS1083|PRFR|HATTIE|P|STRINGER|||Y|Y|20121207233017||||
KFS1084|KFS1084|1.0|KFS1084|PRFR|TAMIKA|L|PENROD|||Y|Y|20121207233017||||
KFS1085|KFS1085|1.0|KFS1085|PRFR|KRIS|Y|JAMISON|||Y|Y|20121207233017||||
KFS1086|KFS1086|1.0|KFS1086|PRFR|STACIE|U|ARRIAGA|||Y|Y|20121207233017||||
KFS1087|KFS1087|1.0|KFS1087|PRFR|QUENTIN|G|MEDLEY|||Y|Y|20121207233017||||
KFS1088|KFS1088|1.0|KFS1088|PRFR|KENDRA|E|KNUDSEN|||Y|Y|20121207233017||||
KFS1089|KFS1089|1.0|KFS1089|PRFR|NORMAND|X|VALDIVIA|||Y|Y|20121207233017||||
KFS1090|KFS1090|1.0|KFS1090|PRFR|ROSENDO|M|HUTCHINSON|||Y|Y|20121207233017||||
KFS1091|KFS1091|1.0|KFS1091|PRFR|MONTY|C|CROCKETT|||Y|Y|20121207233017||||
KFS1092|KFS1092|1.0|KFS1092|PRFR|STACY|J|IVES|||Y|Y|20121207233017||||
KFS1093|KFS1093|1.0|KFS1093|PRFR|LEAH|L|TOY|||Y|Y|20121207233017||||
KFS1094|KFS1094|1.0|KFS1094|PRFR|ARTHUR|B|HAFNER|||Y|Y|20121207233017||||
KFS1095|KFS1095|1.0|KFS1095|PRFR|ERMA|A|SIGLER|||Y|Y|20121207233017||||
KFS1096|KFS1096|1.0|KFS1096|PRFR|FLORENCE|X|PROVINCE|||Y|Y|20121207233017||||
KFS1097|KFS1097|1.0|KFS1097|PRFR|TERRI|O|KEELE|||Y|Y|20121207233017||||
KFS1098|KFS1098|1.0|KFS1098|PRFR|HILLARY|T|SINGLETARY|||Y|Y|20121207233017||||
KFS1099|KFS1099|1.0|KFS1099|PRFR|EMMETT|Z|MARTIN|||Y|Y|20121207233017||||
KFS1100|KFS1100|1.0|KFS1100|PRFR|ALVIN|Y|CARVAJAL|||Y|Y|20121207233017||||
KFS1101|KFS1101|1.0|KFS1101|PRFR|ERIK|B|LEFLORE|||Y|Y|20121207233017||||
KFS1102|KFS1102|1.0|KFS1102|PRFR|BILLY|M|WORCESTER|||Y|Y|20121207233017||||
KFS1103|KFS1103|1.0|KFS1103|PRFR|VONDA|L|CRAVER|||Y|Y|20121207233017||||
KFS1104|KFS1104|1.0|KFS1104|PRFR|YOLANDA|Z|STEED|||Y|Y|20121207233017||||
KFS1105|KFS1105|1.0|KFS1105|PRFR|VERA|Y|STALEY|||Y|Y|20121207233017||||
KFS1106|KFS1106|1.0|KFS1106|PRFR|LILA|L|FUDGE|||Y|Y|20121207233017||||
KFS1107|KFS1107|1.0|KFS1107|PRFR|KIRBY|E|WALCOTT|||Y|Y|20121207233017||||
KFS1108|KFS1108|1.0|KFS1108|PRFR|VICENTE|F|HADDOCK|||Y|Y|20121207233017||||
KFS1109|KFS1109|1.0|KFS1109|PRFR|CHARLENE|X|TEDESCHI|||Y|Y|20121207233017||||
KFS1110|KFS1110|1.0|KFS1110|PRFR|TERESA|W|TONEY|||Y|Y|20121207233017||||
KFS1111|KFS1111|1.0|KFS1111|PRFR|GWENDOLYN|B|CRAVENS|||Y|Y|20121207233017||||
KFS1112|KFS1112|1.0|KFS1112|PRFR|HALLIE|F|MONTENEGRO|||Y|Y|20121207233017||||
KFS1113|KFS1113|1.0|KFS1113|PRFR|JAKE|Q|SHARP|||Y|Y|20121207233017||||
KFS1114|KFS1114|1.0|KFS1114|PRFR|EARLINE|I|WINDER|||Y|Y|20121207233017||||
KFS1115|KFS1115|1.0|KFS1115|PRFR|TODD|I|MCDAVID|||Y|Y|20121207233017||||
KFS1117|KFS1117|1.0|KFS1117|PRFR|MARK|Z|MOFFITT|||Y|Y|20121207233017||||
KFS1122|KFS1122|1.0|KFS1122|PRFR|HESTER|K|PACE|||Y|Y|20121207233017||||
KFS1123|KFS1123|1.0|KFS1123|PRFR|TANYA|N|PIOTROWSKI|||Y|Y|20121207233017||||
KFS1124|KFS1124|1.0|KFS1124|PRFR|COLIN|S|REAL|||Y|Y|20121207233017||||
KFS1125|KFS1125|1.0|KFS1125|PRFR|FAYE|H|HERSH|||Y|Y|20121207233017||||
KFS1137|KFS1137|1.0|KFS1137|PRFR|RANDAL|G|EDMUNDS|||Y|Y|20121207233017||||
KFS1138|KFS1138|1.0|KFS1138|PRFR|ADOLPH|L|COCHRANE|||Y|Y|20121207233017||||
KFS1143|KFS1143|1.0|KFS1143|PRFR|MAXINE|C|INFANTE|||Y|Y|20121207233017||||
KFS1146|KFS1146|1.0|KFS1146|PRFR|CLAIR|V|SINCLAIR|||Y|Y|20121207233017||||
KFS1165|KFS1165|1.0|KFS1165|PRFR|CHRISTOPER|Z|HUTTON|||Y|Y|20121207233017||||
KFS1168|KFS1168|1.0|KFS1168|PRFR|ROCHELLE|I|BOARDMAN|||Y|Y|20121207233017||||
KFS1172|KFS1172|1.0|KFS1172|PRFR|MELISA|Y|LOVELADY|||Y|Y|20121207233017||||
KFS1231|KFS1231|1.0|KFS1231|PRFR|OCTAVIO|O|MARCHANT|||Y|Y|20121207233017||||
KFS1232|KFS1232|1.0|KFS1232|PRFR|MORGAN|E|LANE|||Y|Y|20121207233017||||
KFS1264|KFS1264|1.0|KFS1264|PRFR|LACEY|N|CORY|||Y|Y|20121207233017||||
KFS1309|KFS1309|1.0|KFS1309|PRFR|JOHNATHAN|P|PANKEY|||Y|Y|20121207233017||||
KFS1315|KFS1315|1.0|KFS1315|PRFR|BILLY|E|RISNER|||Y|Y|20121207233017||||
KFS1334|KFS1334|1.0|KFS1334|PRFR|EVERETT|E|CANTU|||Y|Y|20121207233017||||
KFS1337|KFS1337|1.0|KFS1337|PRFR|ANDRES|A|EMERY|||Y|Y|20121207233017||||
KFS1361|KFS1361|1.0|KFS1361|PRFR|ALFRED|W|ALBERTSON|||Y|Y|20121207233017||||
KFS1399|KFS1399|1.0|KFS1399|PRFR|WENDI|Z|RHINEHART|||Y|Y|20121207233017||||
KFS1423|KFS1423|1.0|KFS1423|PRFR|SCOTTIE|V|OXLEY|||Y|Y|20121207233017||||
KFS1433|KFS1433|1.0|KFS1433|PRFR|DUDLEY|N|JOHNSTONE|||Y|Y|20121207233017||||
KFS1438|KFS1438|1.0|KFS1438|PRFR|SHARI|Z|ALEXANDER|||Y|Y|20121207233017||||
KFS1441|KFS1441|1.0|KFS1441|PRFR|JOHNNY|S|ALFORD|||Y|Y|20121207233017||||
KFS1444|KFS1444|1.0|KFS1444|PRFR|CLARA|N|MATTOS|||Y|Y|20121207233017||||
KFS1453|KFS1453|1.0|KFS1453|PRFR|ROBT|A|IRELAND|||Y|Y|20121207233017||||
KFS1455|KFS1455|1.0|KFS1455|PRFR|HORACIO|A|DEGROOT|||Y|Y|20121207233017||||
KFS1470|KFS1470|1.0|KFS1470|PRFR|LORRAINE|R|WESTERN|||Y|Y|20121207233017||||
KFS1482|KFS1482|1.0|KFS1482|PRFR|HALEY|T|EPPS|||Y|Y|20121207233017||||
KFS1515|KFS1515|1.0|KFS1515|PRFR|JASON|C|REICH|||Y|Y|20121207233017||||
KFS1520|KFS1520|1.0|KFS1520|PRFR|XAVIER|Q|RIPPY|||Y|Y|20121207233017||||
KFS1525|KFS1525|1.0|KFS1525|PRFR|WAYNE|M|GRILLO|||Y|Y|20121207233017||||
KFS1526|KFS1526|1.0|KFS1526|PRFR|PAULETTE|T|DAUGHTRY|||Y|Y|20121207233017||||
KFS1531|KFS1531|1.0|KFS1531|PRFR|SERENA|Y|FREDRICK|||Y|Y|20121207233017||||
KFS1545|KFS1545|1.0|KFS1545|PRFR|GARTH|J|GARAY|||Y|Y|20121207233017||||
KFS1556|KFS1556|1.0|KFS1556|PRFR|LORI|F|COPLEY|||Y|Y|20121207233017||||
KFS1574|KFS1574|1.0|KFS1574|PRFR|EVAN|M|MELSON|||Y|Y|20121207233017||||
KFS1586|KFS1586|1.0|KFS1586|PRFR|WILLIE|F|DURR|||Y|Y|20121207233017||||
KFS1599|KFS1599|1.0|KFS1599|PRFR|BRENDAN|B|LEIGHTON|||Y|Y|20121207233017||||
KFS1601|KFS1601|1.0|KFS1601|PRFR|ARTURO|J|PEDIGO|||Y|Y|20121207233017||||
KFS1603|KFS1603|1.0|KFS1603|PRFR|JULIE|F|ISLEY|||Y|Y|20121207233017||||
KFS1625|KFS1625|1.0|KFS1625|PRFR|DIANN|A|GAILEY|||Y|Y|20121207233017||||
KFS1637|KFS1637|1.0|KFS1637|PRFR|CHRISTIAN|X|TUCK|||Y|Y|20121207233017||||
KFS1638|KFS1638|1.0|KFS1638|PRFR|ELVIA|M|CAGE|||Y|Y|20121207233017||||
KFS1656|KFS1656|1.0|KFS1656|PRFR|XAVIER|T|STUTZMAN|||Y|Y|20121207233017||||
KFS1676|KFS1676|1.0|KFS1676|PRFR|ISMAEL|Z|COTTLE|||Y|Y|20121207233017||||
KFS1686|KFS1686|1.0|KFS1686|PRFR|AVIS|X|HOWLETT|||Y|Y|20121207233017||||
KFS1689|KFS1689|1.0|KFS1689|PRFR|JANA|N|FEHR|||Y|Y|20121207233017||||
KFS1705|KFS1705|1.0|KFS1705|PRFR|REBECCA|B|AIKEN|||Y|Y|20121207233017||||
KFS1717|KFS1717|1.0|KFS1717|PRFR|MIRANDA|X|STARNES|||Y|Y|20121207233017||||
KFS1731|KFS1731|1.0|KFS1731|PRFR|BERYL|K|WEAR|||Y|Y|20121207233017||||
KFS1744|KFS1744|1.0|KFS1744|PRFR|QUINN|I|MARIN|||Y|Y|20121207233017||||
KFS1747|KFS1747|1.0|KFS1747|PRFR|LINDSEY|G|SWAREY|||Y|Y|20121207233017||||
KFS1783|KFS1783|1.0|KFS1783|PRFR|CARLY|O|EVANS|||Y|Y|20121207233017||||
KFS1861|KFS1861|1.0|KFS1861|PRFR|ROSS|X|CREAMER|||Y|Y|20121207233017||||
KFS1864|KFS1864|1.0|KFS1864|PRFR|JANELL|U|BYERLY|||Y|Y|20121207233017||||
KFS1870|KFS1870|1.0|KFS1870|PRFR|LUELLA|F|SAMPLES|||Y|Y|20121207233018||||
KFS1884|KFS1884|1.0|KFS1884|PRFR|QUINN|N|LAUX|||Y|Y|20121207233018||||
KFS2|KFS2|1.0|KFS2|PRFR|KFS||Admin|||Y|Y|20121207232856||||
KFS2018|KFS2018|1.0|KFS2018|PRFR|KENDRICK|K|HEREFORD|||Y|Y|20121207233018||||
KFS2019|KFS2019|1.0|KFS2019|PRFR|BOBBIE|Q|KOENIG|||Y|Y|20121207233018||||
KFS2049|KFS2049|1.0|KFS2049|PRFR|ANN|N|SCHOCK|||Y|Y|20121207233018||||
KFS2053|KFS2053|1.0|KFS2053|PRFR|QUINCY|W|ESPINO|||Y|Y|20121207233018||||
KFS2062|KFS2062|1.0|KFS2062|PRFR|LAKISHA|L|HAN|||Y|Y|20121207233018||||
KFS2073|KFS2073|1.0|KFS2073|PRFR|BUFORD|B|SIMONE|||Y|Y|20121207233018||||
KFS2075|KFS2075|1.0|KFS2075|PRFR|ANNA|J|BREMER|||Y|Y|20121207233018||||
KFS2138|KFS2138|1.0|KFS2138|PRFR|ELDON|D|THAXTON|||Y|Y|20121207233018||||
KFS2163|KFS2163|1.0|KFS2163|PRFR|MARCY|L|POOLE|||Y|Y|20121207233018||||
KFS2204|KFS2204|1.0|KFS2204|PRFR|RONALD|B|LUNT|||Y|Y|20121207233018||||
KFS2224|KFS2224|1.0|KFS2224|PRFR|JUSTIN|H|WOLF|||Y|Y|20121207233018||||
KFS2227|KFS2227|1.0|KFS2227|PRFR|SHEENA|Y|ORTON|||Y|Y|20121207233018||||
KFS2230|KFS2230|1.0|KFS2230|PRFR|DONOVAN|M|MCMASTERS|||Y|Y|20121207233018||||
KFS2235|KFS2235|1.0|KFS2235|PRFR|CLAUDE|D|HENSHAW|||Y|Y|20121207233018||||
KFS2236|KFS2236|1.0|KFS2236|PRFR|JAY|S|ICKES|||Y|Y|20121207233018||||
KFS2247|KFS2247|1.0|KFS2247|PRFR|LELA|M|THURMAN|||Y|Y|20121207233018||||
KFS2284|KFS2284|1.0|KFS2284|PRFR|TRISTAN|Q|DAHL|||Y|Y|20121207233018||||
KFS2344|KFS2344|1.0|KFS2344|PRFR|KATELYN|U|KAY|||Y|Y|20121207233018||||
KFS2369|KFS2369|1.0|KFS2369|PRFR|LOIS|S|SOHN|||Y|Y|20121207233018||||
KFS2376|KFS2376|1.0|KFS2376|PRFR|ODELL|E|PEACOCK|||Y|Y|20121207233018||||
KFS2377|KFS2377|1.0|KFS2377|PRFR|MARI|E|BRODEUR|||Y|Y|20121207233018||||
KFS2382|KFS2382|1.0|KFS2382|PRFR|MIA|K|HORNING|||Y|Y|20121207233018||||
KFS2383|KFS2383|1.0|KFS2383|PRFR|STACEY|N|LONGORIA|||Y|Y|20121207233018||||
KFS2388|KFS2388|1.0|KFS2388|PRFR|TIMOTHY|D|AHRENS|||Y|Y|20121207233018||||
KFS2389|KFS2389|1.0|KFS2389|PRFR|SYLVIA|G|TURNBOW|||Y|Y|20121207233018||||
KFS2409|KFS2409|1.0|KFS2409|PRFR|NOREEN|E|ZEPEDA|||Y|Y|20121207233018||||
KFS2412|KFS2412|1.0|KFS2412|PRFR|MOLLIE|W|WILKEY|||Y|Y|20121207233018||||
KFS2492|KFS2492|1.0|KFS2492|PRFR|ERROL|I|LAWTON|||Y|Y|20121207233018||||
KFS2533|KFS2533|1.0|KFS2533|PRFR|ELAINE|J|SNODGRASS|||Y|Y|20121207233018||||
KFS2534|KFS2534|1.0|KFS2534|PRFR|REUBEN|Q|WOOLARD|||Y|Y|20121207233018||||
KFS2535|KFS2535|1.0|KFS2535|PRFR|PRESTON|Q|STALNAKER|||Y|Y|20121207233018||||
KFS2549|KFS2549|1.0|KFS2549|PRFR|GLENNA|C|MARIANI|||Y|Y|20121207233018||||
KFS2550|KFS2550|1.0|KFS2550|PRFR|KRISTY|C|LARRABEE|||Y|Y|20121207233018||||
KFS2552|KFS2552|1.0|KFS2552|PRFR|MILLARD|P|LANDER|||Y|Y|20121207233018||||
KFS2554|KFS2554|1.0|KFS2554|PRFR|VERN|O|HUNTLEY|||Y|Y|20121207233018||||
KFS2559|KFS2559|1.0|KFS2559|PRFR|HEIDI|K|REYNOLDS|||Y|Y|20121207233018||||
KFS2566|KFS2566|1.0|KFS2566|PRFR|YOLANDA|C|PEACHEY|||Y|Y|20121207233018||||
KFS2567|KFS2567|1.0|KFS2567|PRFR|ROOSEVELT|E|COFFEE|||Y|Y|20121207233018||||
KFS2568|KFS2568|1.0|KFS2568|PRFR|LADONNA|O|CANDELARIA|||Y|Y|20121207233018||||
KFS2578|KFS2578|1.0|KFS2578|PRFR|GAIL|E|ROBESON|||Y|Y|20121207233018||||
KFS2582|KFS2582|1.0|KFS2582|PRFR|ELIAS|F|LEY|||Y|Y|20121207233018||||
KFS2584|KFS2584|1.0|KFS2584|PRFR|TABATHA|U|CLANCY|||Y|Y|20121207233018||||
KFS2587|KFS2587|1.0|KFS2587|PRFR|SUSANNE|T|UPTON|||Y|Y|20121207233018||||
KFS2588|KFS2588|1.0|KFS2588|PRFR|KRISTI|B|BANNER|||Y|Y|20121207233018||||
KFS2593|KFS2593|1.0|KFS2593|PRFR|ROBBIE|S|BOCANEGRA|||Y|Y|20121207233018||||
KFS2594|KFS2594|1.0|KFS2594|PRFR|ELLEN|K|BAUER|||Y|Y|20121207233018||||
KFS2595|KFS2595|1.0|KFS2595|PRFR|MILES|K|RAWLINS|||Y|Y|20121207233018||||
KFS2602|KFS2602|1.0|KFS2602|PRFR|JASON|X|NAPOLI|||Y|Y|20121207233018||||
KFS2606|KFS2606|1.0|KFS2606|PRFR|ARRON|V|MALOY|||Y|Y|20121207233018||||
KFS2607|KFS2607|1.0|KFS2607|PRFR|GERMAN|P|HOM|||Y|Y|20121207233018||||
KFS2612|KFS2612|1.0|KFS2612|PRFR|FLORA|D|RAMSEY|||Y|Y|20121207233018||||
KFS2616|KFS2616|1.0|KFS2616|PRFR|WALLACE|B|BOULDIN|||Y|Y|20121207233018||||
KFS2621|KFS2621|1.0|KFS2621|PRFR|BENNY|D|BENEDICT|||Y|Y|20121207233018||||
KFS2629|KFS2629|1.0|KFS2629|PRFR|ISMAEL|E|JAHNKE|||Y|Y|20121207233018||||
KFS2631|KFS2631|1.0|KFS2631|PRFR|CAMERON|X|CARNES|||Y|Y|20121207233018||||
KFS2641|KFS2641|1.0|KFS2641|PRFR|WENDI|P|RHODEN|||Y|Y|20121207233018||||
KFS2646|KFS2646|1.0|KFS2646|PRFR|JEFFERY|Z|MYERS|||Y|Y|20121207233018||||
KFS2648|KFS2648|1.0|KFS2648|PRFR|LAMONT|Q|BROCK|||Y|Y|20121207233018||||
KFS2651|KFS2651|1.0|KFS2651|PRFR|LUCIO|Z|ROBINS|||Y|Y|20121207233018||||
KFS2655|KFS2655|1.0|KFS2655|PRFR|VALERIE|Z|RIENDEAU|||Y|Y|20121207233018||||
KFS2656|KFS2656|1.0|KFS2656|PRFR|CONNIE|T|BECKFORD|||Y|Y|20121207233018||||
KFS2657|KFS2657|1.0|KFS2657|PRFR|HEATHER|A|MCGOUGH|||Y|Y|20121207233018||||
KFS2658|KFS2658|1.0|KFS2658|PRFR|JARRED|F|INGRAHAM|||Y|Y|20121207233018||||
KFS2659|KFS2659|1.0|KFS2659|PRFR|LISA|R|BOROWSKI|||Y|Y|20121207233018||||
KFS2693|KFS2693|1.0|KFS2693|PRFR|ALAN|C|FEENEY|||Y|Y|20121207233018||||
KFS2694|KFS2694|1.0|KFS2694|PRFR|CESAR|S|HOLLY|||Y|Y|20121207233018||||
KFS2695|KFS2695|1.0|KFS2695|PRFR|MELISA|A|SHOEMAKE|||Y|Y|20121207233018||||
KFS2734|KFS2734|1.0|KFS2734|PRFR|GILBERT|A|THEODORE|||Y|Y|20121207233018||||
KFS2742|KFS2742|1.0|KFS2742|PRFR|ALEJANDRA|O|SCHEXNAYDER|||Y|Y|20121207233018||||
