vndr_hdr_gnrtd_id|obj_id|ver_nbr|vndr_typ_cd|vndr_us_tax_nbr|vndr_tax_typ_cd|vndr_ownr_cd|vndr_ownr_ctgry_cd|vndr_fwt_beg_dt|vndr_fwt_end_dt|vndr_w9_rcvd_ind|vndr_w8_rcvd_ind|vndr_debrd_ind|vndr_frgn_ind|vndr_w8_typ_cd|vndr_w9_signed_dt|vndr_w8_signed_dt|vndr_corp_ctzn_cntry_cd|vndr_foreign_tax_id|vndr_giin|vndr_dob_dt|vndr_chap_3_stat_cd|vndr_chap_4_stat_cd|
1012.0|05368B71-63B1-2500-6925-F9121702C8E1|1.0|DV|wN6BKutN5PoN078NbkIQyQ==|FEIN|PT||||||N|N||||||||||
1013.0|A41836E6-5E4F-223E-4A1B-2EB069B01241|1.0|DV|WFlsElhuvTiK9pAI/L50kg==|SSN|ID||20070501000000|20070830000000|||N|N||||||||||
1014.0|32273633-206E-4970-54BB-C984E46E3BDE|2.0|PO|kJWGBOqoscQN078NbkIQyQ==|SSN|ID|||||||N||||||||||
1015.0|04BCDE86-5C21-49D0-6DFA-A2E7E565777C|2.0|PO|eJocalS2mjmkutkw59ibRA==|FEIN|GV||||||N|N||||||||||
1016.0|8682480B-DC33-C5B4-1C75-48C6D65C4A46|3.0|PO|zHj4EnmLFCa39UFEd4GMnQ==|FEIN|PT||||Y||N|N||||||||||
1017.0|71963276-96FD-D4AD-E307-79BA75E3D7DA|2.0|PO|OkdnzPM/q0qkutkw59ibRA==|FEIN|PT|||||Y|N|Y||||||||||
1018.0|A844C3F3-E596-4722-7F59-EE96AF554701|2.0|PO|ihWSzmQVe4O39UFEd4GMnQ==|SSN|ID||||N|||N||||||||||
1019.0|5E22E7D4-A38C-2AE3-CAFC-8A41B0F408D5|2.0|PO|8ytwcwbREUi0Dedyut8K/A==|FEIN|ID|||||||Y||||||||||
1020.0|FB085FD0-6059-3AAC-EA44-4DA92227A373|2.0|PO|JL1xLzGP8zq0Dedyut8K/A==|FEIN|CP||||N|||N||||||||||
1021.0|3F5AB490-8039-A15E-5272-75C21B63D033|2.0|PO|rxUBCLauotP4uOW53wiKPQ==|FEIN|GV||||Y|||N||||||||||
2003.0|7C0E2772-AB1D-DAF6-26F2-3F8488461580|7.0|PO|zoCHdM27cwkc3lalnjPKpA==|SSN|ID||||Y||N|N||||||||||
2005.0|50051370-C8A2-B6C9-E0E7-03F9E2A19ED8|3.0|PO|U4x/5REDdp/4uOW53wiKPQ==|FEIN|PT||||Y|||N||||||||||
2013.0|6D1240EF-25B6-13B9-6CA6-0C6CE7043B60|6.0|PO|quLDe9ybJuG0Dedyut8K/A==|FEIN|CP||||Y||N|N||||||||||
2021.0|B40950A6-7920-D48A-8179-54064B48A1C9|2.0|PO|||ID||||Y||N|Y||||||||||
2023.0|8EAC005D-3755-726E-4DA4-843D1162E5AA|3.0|PO|ApdxVaTkZnUc3lalnjPKpA==|FEIN|PT||||Y||N|N||||||||||
2025.0|1CB8D130-CF1F-853E-D885-FCD9ED95C623|7.0|PO|||GV||||N||N|Y||||||||||
3005.0|BF44C9A1-B19D-634E-871B-0CE274A286CD|3.0|PO|Oym/07DS57oc3lalnjPKpA==|FEIN|PT||||Y||N|N||||||||||
4005.0|6CC96B11-23F2-A8B1-2D8A-9FEADE438980|1.0|PO|GEzbcnq11xv4uOW53wiKPQ==|FEIN|PT||||Y|||N||||||||||
4006.0|DAD9FAFB-42D0-A48C-1F5A-0EBD9E215440|1.0|PO|HUjDAyo0nFy39UFEd4GMnQ==|FEIN|CP|||||||N||||||||||
4007.0|91FEAE5D-C2B7-3D6E-2123-D2AC13EA8E40|1.0|PO|zLcC35L6/BWK9pAI/L50kg==|FEIN|CP|||||||N||||||||||
4008.0|E971DE85-480E-2039-EEC8-79875A7619C5|1.0|PO|1in6abetDPb4uOW53wiKPQ==|FEIN|CP|||||||N||||||||||
4009.0|C9376E2A-DF88-E233-7A36-7DE07687277E|2.0|PO|7XRNKgTCtlcc3lalnjPKpA==|FEIN|CP|||||||N||||||||||
4010.0|77092361-B2F3-512A-4EB0-6C7525159E5D|1.0|PO|DZKw9Jej/CO39UFEd4GMnQ==|FEIN|CP|||||||N||||||||||
4011.0|753C9009-3B16-1B57-C1F2-DD3D12CA170B|1.0|PO|F+C2G9ztSdYc3lalnjPKpA==|FEIN|CP|||||||N||||||||||
4012.0|A798DC16-423A-B404-F883-711C96CC0A65|1.0|PO|JJnaBIPsNLzbGOdhtgfyiw==|FEIN|CP|||||||N||||||||||
4105.0|830E611475FDC23CE0404F8189D82CFD|1.0|DV|||ID|||||Y||Y||||||||||
4106.0|830E611475F6C23CE0404F8189D82CFD|1.0|DV|XBy8HbA0p2kc3lalnjPKpA==|SSN|ID||||Y|||N||||||||||
4107.0|830E611475F7C23CE0404F8189D82CFD|2.0|DV|TJY6/PeY/DKK9pAI/L50kg==|SSN|ID||20100301120000|20110731120000|N|||N||||||||||
4108.0|830E611475FAC23CE0404F8189D82CFD|1.0|PO|DZb08jT3iP60Dedyut8K/A==|SSN|ID||20100301120000|20120401120000|N|||N||||||||||
4109.0|830E611475F8C23CE0404F8189D82CFD|1.0|DV|liKW4ZarlC01yan6wdvxhQ==|SSN|ID||||Y|||N||||||||||
4110.0|830E611475FBC23CE0404F8189D82CFD|2.0|PO|hlpoCk9p3vKkutkw59ibRA==|FEIN|CP||||Y|||N||||||||||
4111.0|830E61147602C23CE0404F8189D82CFD|2.0|PO|YOtrwHHMpX0N078NbkIQyQ==|SSN|ID||||Y|||N||||||||||
4112.0|830E611475FEC23CE0404F8189D82CFD|2.0|PO|qpCX26lt+snbGOdhtgfyiw==|FEIN|PT||||Y|||N||||||||||
4113.0|830E611475FFC23CE0404F8189D82CFD|3.0|PO|9ayf4tscexT4uOW53wiKPQ==|FEIN|CP||||Y|||N||||||||||
4114.0|830E61147600C23CE0404F8189D82CFD|2.0|PO|uxpeQ3unxZu39UFEd4GMnQ==|FEIN|CP||||Y|||N||||||||||
4115.0|830E61147601C23CE0404F8189D82CFD|1.0|SP|GEzbcnq11xv4uOW53wiKPQ==|SSN|ID|||||||N||||||||||
4116.0|830E611475FCC23CE0404F8189D82CFD|1.0|RF|/YOAwYqdvMA1yan6wdvxhQ==|SSN|ID|||||||N||||||||||
4117.0|830E611475F9C23CE0404F8189D82CFD|1.0|PO|||ID|||||||Y||||||||||
4118.0|830E61147603C23CE0404F8189D82CFD|1.0|PO|1bK3GD1nbZgc3lalnjPKpA==|FEIN|CP||||Y|||N||||||||||
4119.0|830E61147604C23CE0404F8189D82CFD|1.0|PO|PL2y8YXOHf4c3lalnjPKpA==|FEIN|CP||||Y|||N||||||||||
4120.0|830E61147605C23CE0404F8189D82CFD|1.0|PO|afQvCdjmHG0c3lalnjPKpA==|FEIN|ID|||||||||||||||||
